,id,open,close,low,high,amount,vol,count,market_name
0,1593100800,6.1e-07,6.1e-07,6.1e-07,6.3e-07,435573.61,0.2698169122,46,tt-btc
1,1593014400,6.1e-07,6.1e-07,5.9e-07,6.3e-07,5741591.550322581,3.5222252895,609,tt-btc
2,1592928000,6.2e-07,6.1e-07,6e-07,6.3e-07,7464776.550967742,4.6011434005,688,tt-btc
3,1592841600,6.4e-07,6.2e-07,6.2e-07,6.5e-07,9119611.04,5.7587666452,726,tt-btc
4,1592755200,6.4e-07,6.4e-07,6.4e-07,6.6e-07,6517942.02,4.2170171978,496,tt-btc
5,1592668800,6.4e-07,6.4e-07,6.3e-07,6.6e-07,2813627.95875,1.7999902766,537,tt-btc
6,1592582400,6.4e-07,6.4e-07,6.3e-07,6.6e-07,9987143.023846153,6.4091705495,902,tt-btc
7,1592496000,6.2e-07,6.4e-07,6.2e-07,6.6e-07,11421419.41,7.3014967935,892,tt-btc
8,1592409600,6.1e-07,6.3e-07,6.1e-07,6.4e-07,3136393.52,1.9560430373,542,tt-btc
9,1592323200,6e-07,6.1e-07,5.9e-07,6.3e-07,4388656.19704918,2.6836813393,528,tt-btc
10,1592236800,6e-07,6e-07,5.9e-07,6.2e-07,4406417.851612903,2.6685975562,526,tt-btc
11,1592150400,6.2e-07,6.1e-07,5.9e-07,6.3e-07,6839733.22,4.1960948034,773,tt-btc
12,1592064000,6.3e-07,6.2e-07,6.2e-07,6.5e-07,2173603.72,1.38006521745625,401,tt-btc
13,1591977600,6.2e-07,6.3e-07,6.2e-07,6.4e-07,1990840.535625,1.2554736322,389,tt-btc
14,1591891200,6.1e-07,6.3e-07,5.9e-07,6.4e-07,9923620.6,6.1690367166,891,tt-btc
15,1591804800,6.3e-07,6.2e-07,6.2e-07,6.5e-07,6204181.2575,3.9005640121,505,tt-btc
16,1591718400,6.3e-07,6.4e-07,6.3e-07,6.5e-07,3891366.9798557693,2.4760819969,456,tt-btc
17,1591632000,6.5e-07,6.4e-07,6.3e-07,6.6e-07,9647338.864848485,6.237945612851515,688,tt-btc
18,1591545600,6.5e-07,6.4e-07,6.3e-07,6.7e-07,8613782.095151516,5.6172047718,700,tt-btc
19,1591459200,6.5e-07,6.5e-07,6.4e-07,6.8e-07,13316490.373819139,8.8521491476,748,tt-btc
20,1591372800,6.7e-07,6.6e-07,6.5e-07,6.9e-07,17318001.87208739,11.545860010649275,849,tt-btc
21,1591286400,8e-07,6.7e-07,6.4e-07,8.8e-07,101564107.82735224,74.1898785104,3815,tt-btc
22,1591200000,6.9e-07,8.1e-07,6.9e-07,8.9e-07,69425385.05728543,55.6297473188,2950,tt-btc
23,1591113600,6.6e-07,7e-07,6.6e-07,7.2e-07,33153958.88,23.1933387775,1265,tt-btc
24,1591027200,6.9e-07,6.7e-07,6.5e-07,7.1e-07,12260590.49,8.3232044282,1012,tt-btc
25,1590940800,6.7e-07,7e-07,6.7e-07,7e-07,20603295.534347825,14.1047119237,933,tt-btc
26,1590854400,6.7e-07,6.8e-07,6.7e-07,7e-07,14969513.74,10.3120675455,792,tt-btc
27,1590768000,6.9e-07,6.7e-07,6.7e-07,7.2e-07,35594829.20992399,24.5489555945,1137,tt-btc
28,1590681600,7.2e-07,6.9e-07,6.6e-07,7.3e-07,52751815.53590828,36.4858439089,1894,tt-btc
29,1590595200,6.2e-07,7.2e-07,6.2e-07,7.5e-07,122467059.50055155,82.5819003906,3693,tt-btc
30,1590508800,6.6e-07,6.3e-07,6.2e-07,6.8e-07,13243534.46,8.5370123453,942,tt-btc
31,1590422400,6.7e-07,6.6e-07,6.5e-07,7.4e-07,16190669.62,11.0397620419,1028,tt-btc
32,1590336000,6.8e-07,6.8e-07,6.7e-07,8e-07,43381944.68110279,32.2305475815,2419,tt-btc
33,1590249600,6.2e-07,6.8e-07,6.2e-07,7e-07,18747417.122638088,12.3700163604,1353,tt-btc
34,1590163200,6e-07,6.2e-07,6e-07,6.6e-07,17329714.75035985,11.0133676621,1077,tt-btc
35,1590076800,5.6e-07,4.6e-07,4.6e-07,7.3e-07,49184405.13831893,32.0424604642,2619,tt-btc
36,1589990400,5.3e-07,5.6e-07,5.2e-07,6e-07,12822181.968888888,7.2170428107,827,tt-btc
37,1589904000,5.3e-07,5.4e-07,5.3e-07,5.5e-07,6453401.51,3.4673824934,551,tt-btc
38,1589817600,5.3e-07,5.3e-07,5.2e-07,5.6e-07,6783872.323636363,3.6608202497,611,tt-btc
39,1589731200,5e-07,5.2e-07,5e-07,5.5e-07,8894008.546363637,4.6481757073,858,tt-btc
40,1589644800,5.2e-07,5.1e-07,5e-07,5.3e-07,2894663.73,1.505095643,442,tt-btc
41,1589558400,5.2e-07,5.3e-07,5.1e-07,5.3e-07,2606512.49,1.3679987478,405,tt-btc
42,1589472000,5.1e-07,5.2e-07,5.1e-07,5.3e-07,4035364.9360667635,2.0984099363,537,tt-btc
43,1589385600,5.5e-07,5.1e-07,5e-07,5.6e-07,14364001.76,7.5983934228,790,tt-btc
44,1589299200,5.6e-07,5.5e-07,5.5e-07,5.7e-07,5291595.29,2.9508341038,842,tt-btc
45,1589212800,5.5e-07,5.6e-07,5.5e-07,5.9e-07,4820912.67,2.7386986346,963,tt-btc
46,1589126400,5.7e-07,5.5e-07,5.4e-07,6e-07,5321014.320175438,3.0419445696,973,tt-btc
