,id,open,close,low,high,amount,vol,count,market_name
0,1593100800,4.21e-08,4.15e-08,4.1e-08,4.21e-08,5305763.45,0.219367112948,101,lol-btc
1,1593014400,4.15e-08,4.2e-08,4.1e-08,4.24e-08,47469433.4,1.980046342565,1779,lol-btc
2,1592928000,4.25e-08,4.16e-08,4.06e-08,4.27e-08,69736863.31,2.917856985561,1367,lol-btc
3,1592841600,4.38e-08,4.26e-08,4.15e-08,4.4e-08,87170285.82398127,3.694694896735,2002,lol-btc
4,1592755200,4.53e-08,4.41e-08,4.26e-08,4.78e-08,96348288.05157895,4.303428083111,2398,lol-btc
5,1592668800,4.36e-08,4.52e-08,4.05e-08,4.53e-08,145673794.96,6.254576296634,2265,lol-btc
6,1592582400,5.02e-08,4.38e-08,4.17e-08,5.99e-08,531308633.59370875,25.086493937186,4041,lol-btc
7,1592496000,4.07e-08,5.02e-08,3.91e-08,5.15e-08,540868355.7242736,25.13727648251,4077,lol-btc
8,1592409600,3.69e-08,4.06e-08,3.69e-08,4.07e-08,184535324.86,7.239278124137,2188,lol-btc
9,1592323200,3.67e-08,3.69e-08,3.57e-08,3.7e-08,39317214.1,1.41857983445,1842,lol-btc
10,1592236800,3.68e-08,3.68e-08,3.57e-08,3.75e-08,43045428.71,1.559999032567,1759,lol-btc
11,1592150400,3.83e-08,3.68e-08,3.44e-08,3.83e-08,43511427.2,1.623947598089,1815,lol-btc
12,1592064000,3.79e-08,3.84e-08,3.67e-08,3.88e-08,54281834.54,2.0423548297,1398,lol-btc
13,1591977600,3.64e-08,3.79e-08,3.62e-08,3.85e-08,68838061.51,2.577534038939,1692,lol-btc
14,1591891200,3.65e-08,3.64e-08,3.5e-08,3.7e-08,26500741.21,0.948025879892,1884,lol-btc
15,1591804800,3.74e-08,3.64e-08,3.59e-08,3.74e-08,32493137.74,1.180176249281,1857,lol-btc
16,1591718400,3.79e-08,3.74e-08,3.63e-08,4e-08,73260443.42456263,2.794516897408,1917,lol-btc
17,1591632000,3.54e-08,3.8e-08,3.46e-08,3.8e-08,44938164.14,1.604439215637,1701,lol-btc
18,1591545600,3.58e-08,3.54e-08,3.5e-08,3.59e-08,44637249.48,1.583289416132,1727,lol-btc
19,1591459200,3.58e-08,3.56e-08,3.49e-08,3.6e-08,31419969.58,1.116933113326,1467,lol-btc
