,open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
0,1546387200000,0.00654000,0.00688000,0.00653000,0.00672000,31278.70000000,1546473599999,208.53699500,53,23749.10000000,158.45763900,0,BTSBNB
1,1546473600000,0.00677000,0.00677000,0.00660000,0.00673000,253845.80000000,1546559999999,1698.72672100,81,120671.70000000,810.41881900,0,BTSBNB
2,1546560000000,0.00669000,0.00687000,0.00640000,0.00664000,62560.20000000,1546646399999,421.08597300,59,42789.40000000,289.49830800,0,BTSBNB
3,1546646400000,0.00659000,0.00663000,0.00645000,0.00656000,35474.90000000,1546732799999,230.89082800,34,12331.30000000,80.87079300,0,BTSBNB
4,1546732800000,0.00655000,0.00670000,0.00647000,0.00665000,45516.20000000,1546819199999,298.60668000,50,24497.90000000,161.23682700,0,BTSBNB
5,1546819200000,0.00670000,0.00854000,0.00659000,0.00713000,961803.80000000,1546905599999,7091.55523900,785,469379.50000000,3477.58448100,0,BTSBNB
6,1546905600000,0.00699000,0.00708000,0.00638000,0.00652000,228774.30000000,1546991999999,1539.88547400,192,182236.50000000,1229.19622700,0,BTSBNB
7,1546992000000,0.00664000,0.00669000,0.00617000,0.00641000,330763.50000000,1547078399999,2150.90737900,169,57497.40000000,367.82036000,0,BTSBNB
8,1547078400000,0.00644000,0.00667000,0.00600000,0.00628000,814233.50000000,1547164799999,5186.90446100,348,396863.40000000,2531.18498100,0,BTSBNB
9,1547164800000,0.00626000,0.00648000,0.00615000,0.00645000,41242.40000000,1547251199999,260.99615700,105,24579.00000000,156.14776200,0,BTSBNB
10,1547251200000,0.00644000,0.00669000,0.00638000,0.00661000,26505.30000000,1547337599999,173.52321100,51,5736.10000000,37.71295800,0,BTSBNB
11,1547337600000,0.00655000,0.00685000,0.00651000,0.00676000,10314.20000000,1547423999999,68.49734000,21,3313.60000000,22.18755100,0,BTSBNB
12,1547424000000,0.00665000,0.00683000,0.00641000,0.00641000,62570.20000000,1547510399999,410.03625800,166,34625.80000000,227.82789400,0,BTSBNB
13,1547510400000,0.00665000,0.00692000,0.00622000,0.00638000,201096.20000000,1547596799999,1304.12850400,194,49466.60000000,318.84299800,0,BTSBNB
14,1547596800000,0.00630000,0.00666000,0.00626000,0.00637000,125463.90000000,1547683199999,802.72888500,213,74400.80000000,478.14113100,0,BTSBNB
15,1547683200000,0.00649000,0.00653000,0.00610000,0.00611000,28759.10000000,1547769599999,180.80199300,70,11252.80000000,70.77977100,0,BTSBNB
16,1547769600000,0.00611000,0.00622000,0.00584000,0.00597000,91389.60000000,1547855999999,550.09387500,164,54897.20000000,331.35482700,0,BTSBNB
17,1547856000000,0.00602000,0.00687000,0.00602000,0.00637000,375533.30000000,1547942399999,2494.86222600,339,140827.00000000,928.67699400,0,BTSBNB
18,1547942400000,0.00635000,0.00638000,0.00610000,0.00616000,69426.10000000,1548028799999,432.72968700,100,23101.80000000,145.37038100,0,BTSBNB
19,1548028800000,0.00613000,0.00634000,0.00601000,0.00601000,32977.20000000,1548115199999,201.43162400,30,8463.10000000,51.74880400,0,BTSBNB
20,1548115200000,0.00606000,0.00619000,0.00596000,0.00605000,138467.30000000,1548201599999,842.76949900,157,57143.90000000,350.73313800,0,BTSBNB
21,1548201600000,0.00605000,0.00619000,0.00590000,0.00605000,139314.30000000,1548287999999,839.57930800,68,56252.80000000,338.64106200,0,BTSBNB
22,1548288000000,0.00602000,0.00603000,0.00585000,0.00590000,255789.00000000,1548374399999,1505.24464600,112,197743.40000000,1162.56171800,0,BTSBNB
23,1548374400000,0.00588000,0.00588000,0.00561000,0.00568000,27038.20000000,1548460799999,155.18567300,72,11901.00000000,68.59684700,0,BTSBNB
24,1548460800000,0.00565000,0.00577000,0.00550000,0.00551000,48865.10000000,1548547199999,275.51582300,94,20332.50000000,114.97995600,0,BTSBNB
25,1548547200000,0.00551000,0.00560000,0.00529000,0.00533000,47749.20000000,1548633599999,259.09748900,104,18391.50000000,100.24008500,0,BTSBNB
26,1548633600000,0.00538000,0.00579000,0.00498000,0.00563000,152455.00000000,1548719999999,836.93319900,198,61736.50000000,338.31200400,0,BTSBNB
27,1548720000000,0.00555000,0.00637000,0.00551000,0.00603000,191569.60000000,1548806399999,1154.14657900,232,90771.90000000,551.17348000,0,BTSBNB
28,1548806400000,0.00602000,0.00624000,0.00592000,0.00605000,100298.50000000,1548892799999,605.15981000,99,41452.30000000,251.26005700,0,BTSBNB
29,1548892800000,0.00601000,0.00608000,0.00580000,0.00582000,40275.30000000,1548979199999,236.62324800,34,19960.60000000,116.81114800,0,BTSBNB
