,open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
0,1580860800000,0.00000216,0.00000800,0.00000216,0.00000683,564365524.00000000,1580947199999,3452.71992678,144013,303790501.00000000,1840.45072447,0,WRXBTC
1,1580947200000,0.00000680,0.00001465,0.00000609,0.00001240,802021381.00000000,1581033599999,8688.26241083,265886,411754862.00000000,4374.01567884,0,WRXBTC
2,1581033600000,0.00001244,0.00001689,0.00001053,0.00001145,455476336.00000000,1581119999999,6267.36007563,174550,235544273.00000000,3259.67814323,0,WRXBTC
3,1581120000000,0.00001146,0.00001315,0.00001054,0.00001117,252671834.00000000,1581206399999,2986.24910306,101594,125179060.00000000,1489.67195551,0,WRXBTC
4,1581206400000,0.00001121,0.00001205,0.00000831,0.00000921,195005382.00000000,1581292799999,1973.33478352,66222,81609397.00000000,830.09483240,0,WRXBTC
5,1581292800000,0.00000921,0.00001087,0.00000863,0.00000953,187304307.00000000,1581379199999,1840.27697819,56103,93181125.00000000,919.83186049,0,WRXBTC
6,1581379200000,0.00000953,0.00001041,0.00000867,0.00000906,115314276.00000000,1581465599999,1110.06621713,38157,52220610.00000000,505.37498139,0,WRXBTC
7,1581465600000,0.00000906,0.00001256,0.00000894,0.00001174,264231485.00000000,1581551999999,2834.21918969,75373,124227871.00000000,1342.00313674,0,WRXBTC
8,1581552000000,0.00001172,0.00001240,0.00000970,0.00001049,185023841.00000000,1581638399999,1985.68382832,66177,85453120.00000000,917.89504445,0,WRXBTC
9,1581638400000,0.00001052,0.00001104,0.00001015,0.00001075,77876094.00000000,1581724799999,829.14201904,27373,36407790.00000000,389.06965379,0,WRXBTC
10,1581724800000,0.00001080,0.00001150,0.00000985,0.00001006,67174397.00000000,1581811199999,714.48173800,24052,28362014.00000000,303.37692141,0,WRXBTC
11,1581811200000,0.00001000,0.00001019,0.00000822,0.00000914,58489844.00000000,1581897599999,535.19905586,18590,23027129.00000000,211.38247258,0,WRXBTC
12,1581897600000,0.00000909,0.00001010,0.00000829,0.00000900,78475144.00000000,1581983999999,725.02348281,23283,35754094.00000000,331.52151380,0,WRXBTC
13,1581984000000,0.00000900,0.00000943,0.00000888,0.00000892,30093683.00000000,1582070399999,275.45922126,11882,12282571.00000000,112.68810473,0,WRXBTC
14,1582070400000,0.00000892,0.00000954,0.00000863,0.00000876,34178328.00000000,1582156799999,309.19563144,11598,15651542.00000000,142.34567377,0,WRXBTC
15,1582156800000,0.00000876,0.00000890,0.00000787,0.00000834,22532792.00000000,1582243199999,188.66167893,8658,9784058.00000000,82.16915555,0,WRXBTC
16,1582243200000,0.00000829,0.00000911,0.00000823,0.00000870,28960680.00000000,1582329599999,252.47873109,9172,13036256.00000000,113.97333876,0,WRXBTC
17,1582329600000,0.00000873,0.00000882,0.00000817,0.00000838,16163212.00000000,1582415999999,136.59552935,5063,6578591.00000000,55.76286072,0,WRXBTC
18,1582416000000,0.00000838,0.00000870,0.00000828,0.00000865,19484261.00000000,1582502399999,165.33462262,7165,8553294.00000000,72.82531812,0,WRXBTC
19,1582502400000,0.00000865,0.00000866,0.00000788,0.00000826,16087417.00000000,1582588799999,132.64387608,6418,5556452.00000000,45.89277271,0,WRXBTC
20,1582588800000,0.00000826,0.00000831,0.00000761,0.00000801,19649749.00000000,1582675199999,155.07380286,9138,9824440.00000000,77.77861704,0,WRXBTC
