,time,open,high,low,close,vol,market_name
0,1555891200000,0.06160000,0.35000000,0.06160000,0.15000000,11559327.82536000,FOR_BIX
1,1555977600000,0.06160000,0.35000000,0.06160000,0.12589900,52440858.64864000,FOR_BIX
2,1556064000000,0.11900000,0.12799900,0.09000000,0.10915600,2908301.11656000,FOR_BIX
3,1556150400000,0.10915600,0.11299900,0.08325500,0.10000000,1180803.01800000,FOR_BIX
4,1556236800000,0.10799800,0.11500000,0.08099700,0.09901500,9566378.28156000,FOR_BIX
5,1556323200000,0.09946600,0.10008300,0.09206400,0.09700000,2272694.20012000,FOR_BIX
6,1556409600000,0.09706100,0.09799900,0.08600000,0.09673200,2068416.29514000,FOR_BIX
7,1556496000000,0.09662400,0.09686600,0.08542600,0.09113400,1957789.19278000,FOR_BIX
8,1556582400000,0.09112700,0.14700000,0.07864200,0.10198800,1558331.40458000,FOR_BIX
9,1556668800000,0.11549700,0.14006900,0.10198900,0.11646100,2035768.35716000,FOR_BIX
10,1556755200000,0.11646100,0.13309200,0.11002000,0.12911800,208502.94120000,FOR_BIX
11,1556841600000,0.12911800,0.12911800,0.11300400,0.11600000,49526.37946000,FOR_BIX
12,1556928000000,0.12743900,0.13500000,0.11603900,0.13470000,325014.81292000,FOR_BIX
13,1557014400000,0.13470000,0.13828700,0.11700000,0.13828700,186203.79580000,FOR_BIX
14,1557100800000,0.13828700,0.13828700,0.11700200,0.13828700,34656.66198000,FOR_BIX
15,1557187200000,0.13790000,0.13790000,0.11839700,0.11922100,156693.88698000,FOR_BIX
16,1557273600000,0.13459900,0.13888800,0.11300400,0.13828700,335742.94698000,FOR_BIX
17,1557360000000,0.13828600,0.13828700,0.13828600,0.13828600,798.87990000,FOR_BIX
18,1557446400000,0.13828600,0.13828600,0.11500000,0.12018200,35437.67484000,FOR_BIX
19,1557532800000,0.12018200,0.13799800,0.11450000,0.13780000,91871.09516000,FOR_BIX
20,1557619200000,0.13769900,0.13769900,0.11610500,0.13769900,49683.84010000,FOR_BIX
21,1557705600000,0.13252500,0.17100000,0.11700500,0.15779900,368144.56044000,FOR_BIX
22,1557792000000,0.14298500,0.15783000,0.13500000,0.13500000,220025.08264000,FOR_BIX
23,1557878400000,0.13500000,0.15230300,0.11728600,0.11750000,111236.37168000,FOR_BIX
24,1557964800000,0.11750000,0.12349900,0.10500000,0.11250000,168505.95000000,FOR_BIX
25,1558051200000,0.11750000,0.12750000,0.11250000,0.11250000,47571.42604000,FOR_BIX
26,1558137600000,0.10610000,0.11500000,0.10222000,0.10222100,80805.14662000,FOR_BIX
27,1558224000000,0.10222100,0.10222100,0.10222100,0.10222100,0.00000000,FOR_BIX
28,1558310400000,0.10222100,0.10222100,0.10222100,0.10222100,0.00000000,FOR_BIX
29,1558396800000,6.00000000,10000.00000000,6.00000000,10000.00000000,0.53030000,FOR_BIX
30,1558483200000,0.16999900,0.16999900,0.10000000,0.10000000,31928.93770000,FOR_BIX
31,1558569600000,0.11750000,0.15719800,0.11530000,0.13750000,77939.22180000,FOR_BIX
32,1558656000000,0.13350000,0.13858000,0.12750000,0.13250100,48178.02990000,FOR_BIX
33,1558742400000,0.13750000,0.15702900,0.13250000,0.13750000,108030.73950000,FOR_BIX
34,1558828800000,0.15698900,0.16707200,0.13800000,0.16707200,270909.35010000,FOR_BIX
35,1558915200000,0.16000000,0.16000000,0.16000000,0.16000000,20007.91480000,FOR_BIX
36,1559001600000,0.14000400,0.14000500,0.13800000,0.13800000,39494.06200000,FOR_BIX
37,1559088000000,0.12298200,0.12298300,0.12298200,0.12298300,127.03750000,FOR_BIX
38,1559174400000,0.13006600,0.13006600,0.12298300,0.12298400,28629.02660000,FOR_BIX
39,1559260800000,0.12298400,0.12298400,0.12298400,0.12298400,0.00000000,FOR_BIX
40,1559347200000,0.12298700,0.12298700,0.12298700,0.12298700,2300.00000000,FOR_BIX
41,1559433600000,0.12298700,0.12298700,0.12298700,0.12298700,0.00000000,FOR_BIX
42,1559520000000,0.12298700,0.12298700,0.12298700,0.12298700,0.00000000,FOR_BIX
43,1559606400000,0.12298700,0.12298700,0.12298700,0.12298700,0.00000000,FOR_BIX
44,1559692800000,0.15979600,0.15979600,0.11897200,0.11897200,14774.38770000,FOR_BIX
45,1559779200000,0.11897200,0.11897200,0.11897200,0.11897200,0.00000000,FOR_BIX
46,1559865600000,0.11780600,0.11780600,0.11780100,0.11780100,15500.00000000,FOR_BIX
47,1559952000000,0.15895700,0.15895700,0.15895700,0.15895700,519.58320000,FOR_BIX
48,1560038400000,0.15895700,0.15895700,0.15895700,0.15895700,0.00000000,FOR_BIX
49,1560124800000,0.11780900,0.14991400,0.11780100,0.11780100,1717.77180000,FOR_BIX
50,1560211200000,0.11780300,0.11780300,0.11707200,0.11707200,42334.93620000,FOR_BIX
51,1560297600000,0.11703000,0.11780000,0.10080900,0.10080900,12046.17760000,FOR_BIX
52,1560384000000,0.10080900,0.10080900,0.10080900,0.10080900,0.00000000,FOR_BIX
53,1560470400000,0.10080900,0.10080900,0.10080900,0.10080900,0.00000000,FOR_BIX
54,1560556800000,0.10081100,0.10081100,0.10081000,0.10081000,6746.39000000,FOR_BIX
55,1560643200000,0.10081000,0.10081000,0.10081000,0.10081000,0.00000000,FOR_BIX
