,timestamp,open,high,low,close,volume,market_name
0,2019-10-04T00:00:00Z,1.401e-05,2.1e-05,1.259e-05,1.536e-05,341.96623378,GEX-BTC
1,2019-10-05T00:00:00Z,1.537e-05,2.1e-05,4.1e-06,1.4e-05,1931.30313983,GEX-BTC
2,2019-10-06T00:00:00Z,1.361e-05,1.62e-05,9.7e-06,1.3e-05,425.07188776,GEX-BTC
3,2019-10-07T00:00:00Z,9.99e-06,1.449e-05,9.16e-06,9.45e-06,946.98869481,GEX-BTC
4,2019-10-08T00:00:00Z,9.48e-06,1.463e-05,9.48e-06,1.2e-05,2756.73838372,GEX-BTC
5,2019-10-09T00:00:00Z,1.112e-05,1.656e-05,1.003e-05,1.097e-05,6749.16478474,GEX-BTC
6,2019-10-10T00:00:00Z,1.097e-05,1.099e-05,6e-06,1.054e-05,19713.84607315,GEX-BTC
7,2019-10-11T00:00:00Z,1.066e-05,1.999e-05,9.68e-06,1.318e-05,37100.91095474,GEX-BTC
8,2019-10-12T00:00:00Z,1.313e-05,1.313e-05,1.033e-05,1.13e-05,22010.70492574,GEX-BTC
9,2019-10-13T00:00:00Z,1.247e-05,1.287e-05,1.047e-05,1.047e-05,4728.28200781,GEX-BTC
10,2019-10-14T00:00:00Z,1.123e-05,1.126e-05,9.09e-06,9.98e-06,23945.11998825,GEX-BTC
11,2019-10-15T00:00:00Z,9.98e-06,1e-05,8.9e-06,8.9e-06,4458.78831986,GEX-BTC
12,2019-10-16T00:00:00Z,9.45e-06,9.45e-06,8.9e-06,8.91e-06,546.4,GEX-BTC
13,2019-10-17T00:00:00Z,8.92e-06,8.93e-06,7.19e-06,7.51e-06,1570.7989011,GEX-BTC
14,2019-10-18T00:00:00Z,8.09e-06,8.76e-06,7.39e-06,7.89e-06,903.99954572,GEX-BTC
15,2019-10-19T00:00:00Z,8.49e-06,9e-06,7.53e-06,7.55e-06,188.32989351,GEX-BTC
16,2019-10-20T00:00:00Z,7.55e-06,8.95e-06,7.5e-06,7.51e-06,472.18186271,GEX-BTC
17,2019-10-21T00:00:00Z,7.5e-06,7.5e-06,6.22e-06,6.22e-06,325.26720779,GEX-BTC
18,2019-10-22T00:00:00Z,6.22e-06,6.74e-06,6.21e-06,6.44e-06,181.02798006,GEX-BTC
19,2019-10-23T00:00:00Z,6.44e-06,7.1e-06,5.51e-06,5.51e-06,757.69731343,GEX-BTC
20,2019-10-24T00:00:00Z,5.43e-06,5.63e-06,4.34e-06,4.39e-06,1436.57967094,GEX-BTC
21,2019-10-25T00:00:00Z,4.51e-06,5.17e-06,4.35e-06,5.17e-06,306.29804728,GEX-BTC
22,2019-10-26T00:00:00Z,4.36e-06,5.5e-06,3.4e-06,3.4e-06,1779.61855697,GEX-BTC
23,2019-10-27T00:00:00Z,3.42e-06,3.5e-06,3.42e-06,3.5e-06,40.5,GEX-BTC
24,2019-10-28T00:00:00Z,3.93e-06,4.89e-06,3.93e-06,4e-06,808.66559013,GEX-BTC
25,2019-10-29T00:00:00Z,4.01e-06,4.99e-06,3.97e-06,4e-06,1722.32928783,GEX-BTC
26,2019-10-30T00:00:00Z,4.01e-06,4.01e-06,3.93e-06,4e-06,1294.77688974,GEX-BTC
27,2019-10-31T00:00:00Z,4e-06,4e-06,3.51e-06,3.99e-06,1647.77404397,GEX-BTC
28,2019-11-01T00:00:00Z,3.99e-06,5e-06,3.53e-06,3.58e-06,10421.7965357,GEX-BTC
29,2019-11-02T00:00:00Z,3.6e-06,3.72e-06,3.59e-06,3.72e-06,836.75683354,GEX-BTC
30,2019-11-03T00:00:00Z,3.7e-06,3.7e-06,3.63e-06,3.63e-06,1533.20597959,GEX-BTC
31,2019-11-04T00:00:00Z,3.63e-06,1e-05,3.4e-06,4.07e-06,6835.64363506,GEX-BTC
32,2019-11-05T00:00:00Z,4.26e-06,6.62e-06,4.15e-06,4.31e-06,1866.98315333,GEX-BTC
33,2019-11-06T00:00:00Z,4.26e-06,6.43e-06,4.2e-06,4.29e-06,2436.11046281,GEX-BTC
34,2019-11-07T00:00:00Z,5.11e-06,5.11e-06,4.15e-06,4.27e-06,4807.48773294,GEX-BTC
35,2019-11-08T00:00:00Z,4.93e-06,4.96e-06,4.25e-06,4.27e-06,3573.89664255,GEX-BTC
36,2019-11-09T00:00:00Z,4.27e-06,4.68e-06,3.45e-06,4.1e-06,14000.26925552,GEX-BTC
37,2019-11-10T00:00:00Z,3.93e-06,4.96e-06,3.59e-06,3.71e-06,6025.86854731,GEX-BTC
38,2019-11-11T00:00:00Z,3.71e-06,4.08e-06,3.7e-06,3.8e-06,3941.39803874,GEX-BTC
