,time,,volume,close,high,low,open,market_name
0,1.58639E+12,2020/4/9,1396713964,0.001578,0.002097,0.00156,0.00195,kai-_usdt
1,1.58648E+12,2020/4/10,848057233,0.001395,0.0017,0.001165,0.001579,kai-_usdt
2,1.58656E+12,2020/4/11,126083591.3,0.00127,0.001437,0.00125,0.00143,kai-_usdt
3,1.58665E+12,2020/4/12,394038312.1,0.000989,0.00131,0.000973,0.00127,kai-_usdt
4,1.58674E+12,2020/4/13,854288967.2,0.000801,0.001009,0.000728,0.000989,kai-_usdt
5,1.58682E+12,2020/4/14,525287086.6,0.000929,0.000998,0.000786,0.000804,kai-_usdt
6,1.58691E+12,2020/4/15,303896963.4,0.000779,0.000934,0.000735,0.000929,kai-_usdt
7,1.587E+12,2020/4/16,520735761.2,0.000748,0.000813,0.000698,0.000779,kai-_usdt
8,1.58708E+12,2020/4/17,277944760.6,0.000722,0.000777,0.000714,0.000743,kai-_usdt
9,1.58717E+12,2020/4/18,70553333.91,0.000735,0.000778,0.000724,0.000735,kai-_usdt
10,1.58725E+12,2020/4/19,108052667.2,0.000672,0.000738,0.000652,0.000735,kai-_usdt
11,1.58734E+12,2020/4/20,268995500.2,0.000642,0.000737,0.000634,0.00067,kai-_usdt
12,1.58743E+12,2020/4/21,302907095.1,0.000712,0.000765,0.000634,0.00064,kai-_usdt
13,1.58751E+12,2020/4/22,320902006.1,0.000762,0.000829,0.000706,0.000712,kai-_usdt
14,1.5876E+12,2020/4/23,285865108.5,0.000744,0.000803,0.000714,0.000764,kai-_usdt
15,1.58769E+12,2020/4/24,246568533.6,0.000722,0.000761,0.000692,0.000747,kai-_usdt
16,1.58777E+12,2020/4/25,229065484.3,0.000696,0.000725,0.000675,0.000724,kai-_usdt
17,1.58786E+12,2020/4/26,224921686.8,0.00069,0.00072,0.000665,0.000695,kai-_usdt
18,1.58795E+12,2020/4/27,189611259.5,0.000677,0.000698,0.00066,0.000691,kai-_usdt
19,1.58803E+12,2020/4/28,245633008.9,0.000712,0.000749,0.000667,0.000678,kai-_usdt
