,time,volume,close,high,low,open,market_name
0,1563667200000,900.21,0.00120234,0.00120234,0.00120234,0.00120234,sero-_eth
1,1563753600000,0.0,0.00120234,0.00120234,0.00120234,0.00120234,sero-_eth
2,1563840000000,2423.0763076,0.00161026,0.00161026,0.00124313,0.00128885,sero-_eth
3,1563926400000,8305.1018347959,0.001172,0.0012395,0.001172,0.0012068,sero-_eth
4,1564012800000,13035.734711774,0.00118571,0.0012102,0.00113351,0.0011885,sero-_eth
5,1564099200000,11659.0263736,0.00116894,0.00119795,0.00116122,0.00119183,sero-_eth
6,1564185600000,33442.673158156,0.00105102,0.00119255,0.001,0.00117956,sero-_eth
7,1564272000000,28433.92302993,0.00103265,0.00106326,0.00097755,0.00104489,sero-_eth
8,1564358400000,16846.363308705,0.00103877,0.0010518,0.00101428,0.00103877,sero-_eth
9,1564444800000,16187.1022946,0.0010204,0.00103877,0.00100816,0.00101451,sero-_eth
10,1564531200000,2613.750211,0.0012,0.00122244,0.001009,0.00101428,sero-_eth
11,1564617600000,15927.46379078,0.00114254,0.00157978,0.00112268,0.0014,sero-_eth
12,1564704000000,18214.161414031,0.00114254,0.00117554,0.00110696,0.00113429,sero-_eth
13,1564790400000,7606.22915811,0.00113429,0.00114347,0.00110174,0.00113732,sero-_eth
14,1564876800000,22703.06854825,0.00110955,0.00114254,0.00110955,0.00113429,sero-_eth
15,1564963200000,10237.28656856,0.00106004,0.00110955,0.00105343,0.00110955,sero-_eth
16,1565049600000,7086.18416077,0.00106004,0.00108479,0.00103529,0.00107604,sero-_eth
17,1565136000000,26190.4510089,0.00102704,0.00106004,0.00096476,0.0010518,sero-_eth
18,1565222400000,27157.998991428,0.00102704,0.00110129,0.00099404,0.00103529,sero-_eth
19,1565308800000,36700.571312698,0.00097755,0.00105179,0.00097755,0.00101879,sero-_eth
20,1565395200000,75580.994291683,0.00102704,0.00107654,0.00074693,0.00097754,sero-_eth
21,1565481600000,22588.52546576,0.00099404,0.0010275,0.00098627,0.0010275,sero-_eth
22,1565568000000,12923.05966591,0.00099451,0.00101879,0.00094756,0.00101054,sero-_eth
23,1565654400000,9022.46092488,0.00095025,0.00101879,0.00094836,0.00098579,sero-_eth
