,open_time,,open,close,highest,lowest,volume,amount,market_name
0,1574985600,2019/11/29,0.0001001,0.0001001,0.0001001,0.0001001,329500,32.98295,ESAX_USDT
1,1575072000,2019/11/30,0.0001001,0.0001001,0.0001001,0.0001001,0,0,ESAX_USDT
2,1575158400,2019/12/1,0.0001001,0.0001001,0.0001001,0.0001001,0,0,ESAX_USDT
3,1575244800,2019/12/2,0.00010108,0.00010107,0.00010108,0.00010107,150000,15.1618972,ESAX_USDT
4,1575331200,2019/12/3,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
5,1575417600,2019/12/4,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
6,1575504000,2019/12/5,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
7,1575590400,2019/12/6,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
8,1575676800,2019/12/7,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
9,1575763200,2019/12/8,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
10,1575849600,2019/12/9,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
11,1575936000,2019/12/10,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
12,1576022400,2019/12/11,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
13,1576108800,2019/12/12,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
14,1576195200,2019/12/13,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
15,1576281600,2019/12/14,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
16,1576368000,2019/12/15,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
17,1576454400,2019/12/16,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
18,1576540800,2019/12/17,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
19,1576627200,2019/12/18,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
20,1576713600,2019/12/19,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
21,1576800000,2019/12/20,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
22,1576886400,2019/12/21,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
23,1576972800,2019/12/22,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
24,1577059200,2019/12/23,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
25,1577145600,2019/12/24,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
26,1577232000,2019/12/25,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
27,1577318400,2019/12/26,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
28,1577404800,2019/12/27,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
29,1577491200,2019/12/28,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
30,1577577600,2019/12/29,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
31,1577664000,2019/12/30,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
32,1577750400,2019/12/31,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
33,1577836800,2020/1/1,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
34,1577923200,2020/1/2,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
35,1578009600,2020/1/3,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
36,1578096000,2020/1/4,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
37,1578182400,2020/1/5,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
38,1578268800,2020/1/6,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
39,1578355200,2020/1/7,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
40,1578441600,2020/1/8,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
41,1578528000,2020/1/9,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
42,1578614400,2020/1/10,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
43,1578700800,2020/1/11,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
44,1578787200,2020/1/12,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
45,1578873600,2020/1/13,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
46,1578960000,2020/1/14,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
47,1579046400,2020/1/15,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
48,1579132800,2020/1/16,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
49,1579219200,2020/1/17,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
50,1579305600,2020/1/18,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
51,1579392000,2020/1/19,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
52,1579478400,2020/1/20,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
53,1579564800,2020/1/21,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
54,1579651200,2020/1/22,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
55,1579737600,2020/1/23,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
56,1579824000,2020/1/24,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
57,1579910400,2020/1/25,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
58,1579996800,2020/1/26,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
59,1580083200,2020/1/27,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
60,1580169600,2020/1/28,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
61,1580256000,2020/1/29,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
62,1580342400,2020/1/30,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
63,1580428800,2020/1/31,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
64,1580515200,2020/2/1,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
65,1580601600,2020/2/2,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
66,1580688000,2020/2/3,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
67,1580774400,2020/2/4,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
68,1580860800,2020/2/5,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
69,1580947200,2020/2/6,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
70,1581033600,2020/2/7,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
71,1581120000,2020/2/8,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
72,1581206400,2020/2/9,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
73,1581292800,2020/2/10,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
74,1581379200,2020/2/11,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
75,1581465600,2020/2/12,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
76,1581552000,2020/2/13,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
77,1581638400,2020/2/14,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
78,1581724800,2020/2/15,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
79,1581811200,2020/2/16,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
80,1581897600,2020/2/17,0.00010107,0.00010107,0.00010107,0.00010107,0,0,ESAX_USDT
