,open_time,open,close,highest,lowest,volume,amount,market_name
0,1579564800,0.0015,0.0015,0.0015,0.0015,60132.25,90.198375,KAM_USD
1,1579651200,0.0015,0.0015,0.0015,0.0015,67495.32,101.24298,KAM_USD
2,1579737600,0.002,0.002,0.002,0.002,12529.35,25.0587,KAM_USD
3,1579824000,0.002,0.002,0.002,0.002,74132.55,148.2651,KAM_USD
4,1579910400,0.002,0.002,0.002,0.002,0,0,KAM_USD
5,1579996800,0.002,0.002,0.002,0.002,0,0,KAM_USD
6,1580083200,0.0025,0.0025,0.0025,0.0025,35597.39,88.993475,KAM_USD
7,1580169600,0.0025,0.0025,0.0025,0.0025,0,0,KAM_USD
8,1580256000,0.0023,0.0023,0.0023,0.0023,51783.77,119.102671,KAM_USD
9,1580342400,0.0023,0.0023,0.0023,0.0023,0,0,KAM_USD
10,1580428800,0.003,0.003,0.003,0.003,36364.8,109.0944,KAM_USD
11,1580515200,0.003,0.003,0.003,0.003,0,0,KAM_USD
12,1580601600,0.003,0.003,0.003,0.003,0,0,KAM_USD
13,1580688000,0.003,0.003,0.003,0.003,0,0,KAM_USD
14,1580774400,0.003,0.003,0.003,0.003,0,0,KAM_USD
15,1580860800,0.003,0.003,0.003,0.003,0,0,KAM_USD
16,1580947200,0.003,0.003,0.003,0.003,0,0,KAM_USD
17,1581033600,0.003,0.003,0.003,0.003,0,0,KAM_USD
18,1581120000,0.003,0.003,0.003,0.003,0,0,KAM_USD
19,1581206400,0.003,0.003,0.003,0.003,0,0,KAM_USD
20,1581292800,0.003,0.003,0.003,0.003,0,0,KAM_USD
21,1581379200,0.003,0.003,0.003,0.003,0,0,KAM_USD
22,1581465600,0.003,0.003,0.003,0.003,0,0,KAM_USD
23,1581552000,0.003,0.003,0.003,0.003,0,0,KAM_USD
24,1581638400,0.003,0.003,0.003,0.003,0,0,KAM_USD
25,1581724800,0.003,0.003,0.003,0.003,0,0,KAM_USD
26,1581811200,0.003,0.003,0.003,0.003,0,0,KAM_USD
27,1581897600,0.003,0.003,0.003,0.003,0,0,KAM_USD
28,1581984000,0.003,0.003,0.003,0.003,0,0,KAM_USD
29,1582070400,0.003,0.003,0.003,0.003,0,0,KAM_USD
30,1582156800,0.003,0.003,0.003,0.003,0,0,KAM_USD
31,1582243200,0.003,0.003,0.003,0.003,0,0,KAM_USD
32,1582329600,0.003,0.003,0.003,0.003,0,0,KAM_USD
33,1582416000,0.003,0.003,0.003,0.003,0,0,KAM_USD
34,1582502400,0.003,0.003,0.003,0.003,0,0,KAM_USD
35,1582588800,0.003,0.003,0.003,0.003,0,0,KAM_USD
36,1582675200,0.003,0.003,0.003,0.003,0,0,KAM_USD
37,1582761600,0.003,0.003,0.003,0.003,0,0,KAM_USD
38,1582848000,0.003,0.003,0.003,0.003,0,0,KAM_USD
39,1582934400,0.003,0.003,0.003,0.003,0,0,KAM_USD
40,1583020800,0.003,0.003,0.003,0.003,0,0,KAM_USD
41,1583107200,0.003,0.003,0.003,0.003,0,0,KAM_USD
42,1583193600,0.003,0.003,0.003,0.003,0,0,KAM_USD
43,1583280000,0.003,0.003,0.003,0.003,0,0,KAM_USD
44,1583366400,0.003,0.003,0.003,0.003,0,0,KAM_USD
45,1583452800,0.003,0.003,0.003,0.003,0,0,KAM_USD
46,1583539200,0.003,0.003,0.003,0.003,0,0,KAM_USD
47,1583625600,0.003,0.003,0.003,0.003,0,0,KAM_USD
48,1583712000,0.003,0.003,0.003,0.003,0,0,KAM_USD
49,1583798400,0.003,0.003,0.003,0.003,0,0,KAM_USD
50,1583884800,0.003,0.003,0.003,0.003,0,0,KAM_USD
51,1583971200,0.003,0.003,0.003,0.003,0,0,KAM_USD
52,1584057600,0.003,0.003,0.003,0.003,0,0,KAM_USD
53,1584144000,0.003,0.003,0.003,0.003,0,0,KAM_USD
54,1584230400,0.003,0.003,0.003,0.003,0,0,KAM_USD
55,1584316800,0.003,0.003,0.003,0.003,0,0,KAM_USD
56,1584403200,0.003,0.003,0.003,0.003,0,0,KAM_USD
57,1584489600,0.003,0.003,0.003,0.003,0,0,KAM_USD
58,1584576000,0.003,0.003,0.003,0.003,0,0,KAM_USD
59,1584662400,0.003,0.003,0.003,0.003,0,0,KAM_USD
60,1584748800,0.003,0.003,0.003,0.003,0,0,KAM_USD
61,1584835200,0.003,0.003,0.003,0.003,0,0,KAM_USD
62,1584921600,0.003,0.003,0.003,0.003,0,0,KAM_USD
63,1585008000,0.003,0.003,0.003,0.003,0,0,KAM_USD
64,1585094400,0.003,0.003,0.003,0.003,0,0,KAM_USD
65,1585180800,0.003,0.003,0.003,0.003,0,0,KAM_USD
66,1585267200,0.003,0.003,0.003,0.003,0,0,KAM_USD
67,1585353600,0.003,0.003,0.003,0.003,0,0,KAM_USD
68,1585440000,0.003,0.003,0.003,0.003,0,0,KAM_USD
69,1585526400,0.003,0.003,0.003,0.003,0,0,KAM_USD
70,1585612800,0.003,0.003,0.003,0.003,0,0,KAM_USD
71,1585699200,0.003,0.003,0.003,0.003,0,0,KAM_USD
72,1585785600,0.003,0.003,0.003,0.003,0,0,KAM_USD
73,1585872000,0.003,0.003,0.003,0.003,0,0,KAM_USD
74,1585958400,0.003,0.003,0.003,0.003,0,0,KAM_USD
75,1586044800,0.003,0.003,0.003,0.003,0,0,KAM_USD
76,1586131200,0.003,0.003,0.003,0.003,0,0,KAM_USD
77,1586217600,0.003,0.003,0.003,0.003,0,0,KAM_USD
78,1586304000,0.003,0.003,0.003,0.003,0,0,KAM_USD
79,1586390400,0.003,0.003,0.003,0.003,0,0,KAM_USD
80,1586476800,0.003,0.003,0.003,0.003,0,0,KAM_USD
81,1586563200,0.003,0.003,0.003,0.003,0,0,KAM_USD
82,1586649600,0.003,0.003,0.003,0.003,0,0,KAM_USD
83,1586736000,0.003,0.003,0.003,0.003,0,0,KAM_USD
84,1586822400,0.003,0.003,0.003,0.003,0,0,KAM_USD
85,1586908800,0.003,0.003,0.003,0.003,0,0,KAM_USD
86,1586995200,0.003,0.003,0.003,0.003,0,0,KAM_USD
87,1587081600,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
88,1587168000,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
89,1587254400,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
90,1587340800,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
91,1587427200,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
92,1587513600,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
93,1587600000,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
94,1587686400,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
95,1587772800,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
96,1587859200,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
97,1587945600,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
98,1588032000,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
99,1588118400,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
100,1588204800,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
101,1588291200,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
102,1588377600,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
103,1588464000,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
104,1588550400,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
105,1588636800,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
106,1588723200,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
107,1588809600,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
108,1588896000,0.0014,0.0014,0.0014,0.0014,3373.11,4.722354,KAM_USD
109,1588982400,0.0014,0.0014,0.0014,0.0014,0,0,KAM_USD
