,open_time,,open,close,highest,lowest,volume,amount,market_name
0,1567641600,2019/9/5,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
1,1567728000,2019/9/6,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
2,1567814400,2019/9/7,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
3,1567900800,2019/9/8,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
4,1567987200,2019/9/9,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
5,1568073600,2019/9/10,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
6,1568160000,2019/9/11,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
7,1568246400,2019/9/12,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
8,1568332800,2019/9/13,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
9,1568419200,2019/9/14,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
10,1568505600,2019/9/15,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
11,1568592000,2019/9/16,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
12,1568678400,2019/9/17,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
13,1568764800,2019/9/18,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
14,1568851200,2019/9/19,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
15,1568937600,2019/9/20,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
16,1569024000,2019/9/21,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
17,1569110400,2019/9/22,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
18,1569196800,2019/9/23,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
19,1569283200,2019/9/24,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
20,1569369600,2019/9/25,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
21,1569456000,2019/9/26,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
22,1569542400,2019/9/27,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
23,1569628800,2019/9/28,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
24,1569715200,2019/9/29,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
25,1569801600,2019/9/30,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
26,1569888000,2019/10/1,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
27,1569974400,2019/10/2,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
28,1570060800,2019/10/3,0.0046,0.0046,0.0046,0.0046,60652,278.9992,CMK_USDT
29,1570147200,2019/10/4,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
30,1570233600,2019/10/5,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
31,1570320000,2019/10/6,0.0046,0.0046,0.0046,0.0046,0,0,CMK_USDT
32,1570406400,2019/10/7,0.0042,0.0042,0.0042,0.0042,60652,254.7384,CMK_USDT
33,1570492800,2019/10/8,0.0041,0.0041,0.0041,0.0041,60652,248.6732,CMK_USDT
34,1570579200,2019/10/9,0.0041,0.0041,0.0041,0.0041,60652,248.6732,CMK_USDT
35,1570665600,2019/10/10,0.0041,0.0041,0.0041,0.0041,60652,248.6732,CMK_USDT
36,1570752000,2019/10/11,0.0041,0.0041,0.0041,0.0041,60652,248.6732,CMK_USDT
37,1570838400,2019/10/12,0.0041,0.0041,0.0041,0.0041,0,0,CMK_USDT
38,1570924800,2019/10/13,0.0039,0.0039,0.0039,0.0039,5000,19.5,CMK_USDT
39,1571011200,2019/10/14,0.0039,0.0039,0.0039,0.0039,5000,19.5,CMK_USDT
40,1571097600,2019/10/15,0.0038,0.0038,0.0038,0.0038,5000,19,CMK_USDT
