,open_time,,open,close,highest,lowest,volume,amount,market_name
0,1558310400,2019/5/20,0.00000589,0.0000071,0.0000073,0.000004,20805,0.1391865,EVED_BTC
1,1558396800,2019/5/21,0.0000071,0.0000067,0.0000071,0.0000067,7911,0.0546097,EVED_BTC
2,1558483200,2019/5/22,0.0000067,0.0000066,0.0000067,0.0000055,9402,0.0615183,EVED_BTC
3,1558569600,2019/5/23,0.0000066,0.0000052,0.0000066,0.0000052,1500,0.009545,EVED_BTC
4,1558656000,2019/5/24,0.0000051,0.0000066,0.0000066,0.0000048,5504,0.0358764,EVED_BTC
5,1558742400,2019/5/25,0.0000047,0.0000066,0.0000066,0.0000044,4508,0.029048,EVED_BTC
6,1558828800,2019/5/26,0.0000043,0.000004,0.0000059,0.000004,13987,0.06030777,EVED_BTC
7,1558915200,2019/5/27,0.0000039,0.0000035,0.0000039,0.0000035,150,0.000555,EVED_BTC
8,1559001600,2019/5/28,0.0000038,0.00000389,0.00000389,0.0000038,17784,0.06800706,EVED_BTC
9,1559088000,2019/5/29,0.00000389,0.0000028,0.00000389,0.0000028,5483,0.02114424,EVED_BTC
10,1559174400,2019/5/30,0.0000028,0.0000028,0.0000028,0.0000028,0,0,EVED_BTC
11,1559260800,2019/5/31,0.0000038,0.0000038,0.0000038,0.0000038,702,0.0026676,EVED_BTC
12,1559347200,2019/6/1,0.0000038,0.0000041,0.0000041,0.0000038,6602,0.0254376,EVED_BTC
13,1559433600,2019/6/2,0.0000031,0.0000042,0.0000042,0.0000031,11427,0.0380401,EVED_BTC
14,1559520000,2019/6/3,0.00000419,0.0000041,0.00000419,0.0000041,19390,0.08013971,EVED_BTC
15,1559606400,2019/6/4,0.0000041,0.0000041,0.0000041,0.0000041,2790,0.011439,EVED_BTC
16,1559692800,2019/6/5,0.00000419,0.00000419,0.00000419,0.000004,34788,0.14571802,EVED_BTC
17,1559779200,2019/6/6,0.00000419,0.00000419,0.00000419,0.000004,57612,0.2398644,EVED_BTC
18,1559865600,2019/6/7,0.00000419,0.00000419,0.00000419,0.000004,31622,0.12755238,EVED_BTC
19,1559952000,2019/6/8,0.0000029,0.00000419,0.00000419,0.0000025,10422,0.0430811,EVED_BTC
20,1560038400,2019/6/9,0.00000419,0.00000419,0.00000419,0.00000419,0,0,EVED_BTC
21,1560124800,2019/6/10,0.00000419,0.00000419,0.00000419,0.00000419,10000,0.0419,EVED_BTC
22,1560211200,2019/6/11,0.00000419,0.00000419,0.00000419,0.00000419,0,0,EVED_BTC
23,1560297600,2019/6/12,0.0000041,0.0000041,0.0000041,0.0000041,65339,0.2678899,EVED_BTC
24,1560384000,2019/6/13,0.00000419,0.0000042,0.0000042,0.00000419,45760,0.191742,EVED_BTC
25,1560470400,2019/6/14,0.0000042,0.0000042,0.0000042,0.0000042,0,0,EVED_BTC
26,1560556800,2019/6/15,0.00000419,0.00000419,0.00000419,0.00000419,13380,0.0560622,EVED_BTC
27,1560643200,2019/6/16,0.00000419,0.00000419,0.00000419,0.00000419,0,0,EVED_BTC
28,1560729600,2019/6/17,0.0000041,0.00000419,0.00000419,0.0000041,51906,0.2155146,EVED_BTC
29,1560816000,2019/6/18,0.00000415,0.00000415,0.00000415,0.00000415,19000,0.07885,EVED_BTC
30,1560902400,2019/6/19,0.00000419,0.0000035,0.00000419,0.0000035,49164,0.2000114,EVED_BTC
31,1560988800,2019/6/20,0.0000039,0.00000388,0.0000039,0.00000388,11000,0.0427,EVED_BTC
32,1561075200,2019/6/21,0.00000388,0.00000388,0.00000388,0.00000388,10000,0.0388,EVED_BTC
33,1561161600,2019/6/22,0.00000389,0.00000369,0.00000389,0.00000369,29000,0.10921,EVED_BTC
34,1561248000,2019/6/23,0.00000369,0.00000369,0.00000369,0.00000369,0,0,EVED_BTC
35,1561334400,2019/6/24,0.00000368,0.00000368,0.00000368,0.00000368,24120,0.0887616,EVED_BTC
36,1561420800,2019/6/25,0.00000369,0.00000348,0.00000369,0.000002,49370,0.177532,EVED_BTC
37,1561507200,2019/6/26,0.00000349,0.00000349,0.00000349,0.00000349,44413,0.15500137,EVED_BTC
38,1561593600,2019/6/27,0.0000029,0.0000029,0.0000029,0.0000029,47070,0.136503,EVED_BTC
39,1561680000,2019/6/28,0.00000299,0.0000029,0.00000299,0.0000029,36818,0.10959082,EVED_BTC
40,1561766400,2019/6/29,0.0000029,0.0000029,0.0000029,0.0000029,55000,0.1595,EVED_BTC
41,1561852800,2019/6/30,0.00000249,0.00000249,0.00000249,0.00000249,5500,0.013695,EVED_BTC
42,1561939200,2019/7/1,0.0000025,0.00000249,0.0000025,0.00000249,4987,0.0124182,EVED_BTC
43,1562025600,2019/7/2,0.0000025,0.0000032,0.0000039,0.0000025,63633,0.23161378,EVED_BTC
44,1562112000,2019/7/3,0.00000319,0.00000318,0.00000319,0.00000318,2540,0.00809361,EVED_BTC
45,1562198400,2019/7/4,0.00000318,0.00000318,0.00000318,0.00000318,0,0,EVED_BTC
46,1562284800,2019/7/5,0.00000318,0.00000318,0.00000318,0.00000318,1000,0.00318,EVED_BTC
47,1562371200,2019/7/6,0.00000318,0.00000318,0.00000318,0.00000318,0,0,EVED_BTC
48,1562457600,2019/7/7,0.00000318,0.00000318,0.00000318,0.00000318,5990,0.0190482,EVED_BTC
49,1562544000,2019/7/8,0.0000028,0.00000318,0.00000318,0.0000028,27830,0.0877301,EVED_BTC
50,1562630400,2019/7/9,0.00000299,0.0000025,0.00000299,3.50E-07,4038,0.01054726,EVED_BTC
51,1562716800,2019/7/10,0.00000279,3.50E-07,0.0000029,3.50E-07,6064,0.0160031,EVED_BTC
52,1562803200,2019/7/11,0.00000279,0.00000279,0.00000279,0.00000279,3384,0.00944136,EVED_BTC
53,1562889600,2019/7/12,0.00000275,0.00000275,0.00000275,0.00000275,1000,0.00275,EVED_BTC
54,1562976000,2019/7/13,0.00000279,0.00000279,0.00000279,0.00000279,632,0.00176328,EVED_BTC
55,1563062400,2019/7/14,0.00000279,0.00000279,0.00000279,0.00000279,0,0,EVED_BTC
56,1563148800,2019/7/15,0.00000299,0.00000297,0.00000299,0.00000297,20000,0.0596,EVED_BTC
57,1563235200,2019/7/16,0.00000297,0.00000297,0.00000297,0.00000297,0,0,EVED_BTC
58,1563321600,2019/7/17,0.00000299,0.0000028,0.00000299,0.0000028,20144,0.05962616,EVED_BTC
59,1563408000,2019/7/18,0.00000299,0.00000298,0.00000299,0.00000298,52668,0.15737682,EVED_BTC
60,1563494400,2019/7/19,0.00000289,0.000003,0.000003,0.00000289,4193,0.012227,EVED_BTC
61,1563580800,2019/7/20,0.00000299,0.00000299,0.00000299,0.00000299,34323,0.10262577,EVED_BTC
62,1563667200,2019/7/21,0.00000299,0.00000299,0.00000299,0.00000299,21265,0.06358235,EVED_BTC
63,1563753600,2019/7/22,0.00000299,0.00000298,0.00000299,0.00000196,36701,0.10905029,EVED_BTC
64,1563840000,2019/7/23,0.00000121,0.00000278,0.00000278,0.00000121,6655,0.0182026,EVED_BTC
65,1563926400,2019/7/24,0.00000278,0.00000278,0.00000278,0.00000278,19395,0.0539181,EVED_BTC
66,1564012800,2019/7/25,0.00000203,0.00000256,0.00000256,0.00000202,15312,0.038910966,EVED_BTC
67,1564099200,2019/7/26,0.00000209,0.00000209,0.00000209,0.00000209,5732,0.01197988,EVED_BTC
68,1564185600,2019/7/27,0.00000224,0.00000227,0.00000227,0.00000224,17600,0.03958234,EVED_BTC
69,1564272000,2019/7/28,0.00000221,0.00000221,0.00000221,0.00000221,5420,0.0119782,EVED_BTC
70,1564358400,2019/7/29,0.00000211,0.0000022,0.0000022,0.00000211,8661,0.01900992,EVED_BTC
71,1564444800,2019/7/30,0.00000217,0.00000213,0.00000217,0.00000213,109000,0.23253,EVED_BTC
72,1564531200,2019/7/31,0.0000021,0.00000225,0.00000225,0.00000126,143376.6587,0.318275214,EVED_BTC
73,1564617600,2019/8/1,0.00000226,0.00000225,0.00000226,0.00000225,120064,0.27014764,EVED_BTC
74,1564704000,2019/8/2,0.00000225,0.00000225,0.00000225,0.00000225,30000,0.0675,EVED_BTC
75,1564790400,2019/8/3,0.00000225,0.00000225,0.00000225,0.00000225,89800,0.20205,EVED_BTC
76,1564876800,2019/8/4,0.00000126,0.00000225,0.00000225,0.00000125,11583.05967,0.024486761,EVED_BTC
77,1564963200,2019/8/5,0.00000225,0.00000119,0.00000225,0.00000119,18660,0.040148933,EVED_BTC
78,1565049600,2019/8/6,0.00000218,0.00000198,0.00000218,0.0000011,60274,0.129107911,EVED_BTC
79,1565136000,2019/8/7,0.0000011,0.00000128,0.00000198,4.50E-07,177983.9555,0.291032082,EVED_BTC
80,1565222400,2019/8/8,0.00000128,0.00000128,0.00000128,0.00000128,0,0,EVED_BTC
81,1565308800,2019/8/9,7.80E-07,7.80E-07,7.80E-07,7.80E-07,15501,0.01209078,EVED_BTC
82,1565395200,2019/8/10,0.00000173,0.00000173,0.00000173,0.00000173,39916,0.06905468,EVED_BTC
83,1565481600,2019/8/11,9.80E-07,9.80E-07,9.80E-07,9.80E-07,324752,0.31825696,EVED_BTC
84,1565568000,2019/8/12,9.60E-07,9.60E-07,9.60E-07,9.60E-07,239532,0.22995072,EVED_BTC
85,1565654400,2019/8/13,9.20E-07,9.20E-07,9.20E-07,9.20E-07,90640,0.0833888,EVED_BTC
86,1565740800,2019/8/14,9.70E-07,9.70E-07,9.70E-07,9.70E-07,1630,0.0015811,EVED_BTC
87,1565827200,2019/8/15,9.70E-07,9.70E-07,9.70E-07,9.70E-07,0,0,EVED_BTC
88,1565913600,2019/8/16,3.30E-07,7.40E-07,8.90E-07,3.20E-07,16435,0.01112591,EVED_BTC
89,1566000000,2019/8/17,7.50E-07,7.40E-07,7.50E-07,1.40E-07,324650,0.22075277,EVED_BTC
90,1566086400,2019/8/18,6.60E-07,0.00000286,0.00000299,6.30E-07,171433,0.130949268,EVED_BTC
91,1566172800,2019/8/19,0.00000174,0.00000174,0.00000174,0.00000174,9004,0.01566696,EVED_BTC
92,1566259200,2019/8/20,0.00000159,0.00000159,0.00000159,5.50E-07,332849.431,0.52299749,EVED_BTC
93,1566345600,2019/8/21,0.00000159,0.00000159,0.00000159,0.00000159,0,0,EVED_BTC
94,1566432000,2019/8/22,0.00000159,0.00000159,0.00000159,0.00000159,0,0,EVED_BTC
95,1566518400,2019/8/23,3.50E-07,0.00000102,0.00000102,3.50E-07,4593.571429,0.0023883,EVED_BTC
96,1566604800,2019/8/24,0.00000102,0.00000102,0.00000102,0.00000102,0,0,EVED_BTC
97,1566691200,2019/8/25,0.00000102,0.00000102,0.00000102,0.00000102,0,0,EVED_BTC
98,1566777600,2019/8/26,2.40E-07,2.40E-07,2.40E-07,2.40E-07,324,0.00007776,EVED_BTC
99,1566864000,2019/8/27,2.50E-07,9.40E-07,9.40E-07,2.40E-07,8475,0.0051705,EVED_BTC
100,1566950400,2019/8/28,2.40E-07,7.50E-07,7.60E-07,2.40E-07,8190,0.00517154,EVED_BTC
101,1567036800,2019/8/29,7.50E-07,7.50E-07,7.50E-07,7.50E-07,0,0,EVED_BTC
102,1567123200,2019/8/30,7.50E-07,7.50E-07,7.50E-07,7.50E-07,0,0,EVED_BTC
103,1567209600,2019/8/31,7.50E-07,7.50E-07,7.50E-07,7.50E-07,0,0,EVED_BTC
104,1567296000,2019/9/1,6.40E-07,6.40E-07,6.40E-07,6.40E-07,1639,0.00104896,EVED_BTC
105,1567382400,2019/9/2,6.40E-07,6.40E-07,6.40E-07,6.40E-07,0,0,EVED_BTC
106,1567468800,2019/9/3,6.40E-07,6.40E-07,6.40E-07,6.40E-07,0,0,EVED_BTC
107,1567555200,2019/9/4,2.50E-07,0.00000157,0.00000157,2.50E-07,1972,0.00177604,EVED_BTC
108,1567641600,2019/9/5,2.60E-07,0.00000123,0.00000123,2.50E-07,69754,0.08408262,EVED_BTC
109,1567728000,2019/9/6,0.00000123,0.00000108,0.00000123,0.00000108,43570,0.04763055,EVED_BTC
110,1567814400,2019/9/7,0.00000108,0.00000108,0.00000108,0.00000108,0,0,EVED_BTC
111,1567900800,2019/9/8,9.80E-07,9.80E-07,9.80E-07,9.80E-07,170720,0.1673056,EVED_BTC
112,1567987200,2019/9/9,2.50E-07,2.50E-07,2.50E-07,2.50E-07,11040,0.00276,EVED_BTC
113,1568073600,2019/9/10,9.00E-07,9.00E-07,9.00E-07,9.00E-07,7888,0.0070992,EVED_BTC
114,1568160000,2019/9/11,9.00E-07,9.00E-07,9.00E-07,9.00E-07,0,0,EVED_BTC
115,1568246400,2019/9/12,7.80E-07,7.80E-07,7.80E-07,7.80E-07,10000,0.0078,EVED_BTC
116,1568332800,2019/9/13,7.80E-07,7.80E-07,7.80E-07,7.80E-07,10000,0.0078,EVED_BTC
117,1568419200,2019/9/14,7.80E-07,7.80E-07,7.80E-07,7.80E-07,0,0,EVED_BTC
118,1568505600,2019/9/15,7.80E-07,7.80E-07,7.80E-07,7.80E-07,0,0,EVED_BTC
119,1568592000,2019/9/16,7.60E-07,7.60E-07,7.60E-07,7.60E-07,10000,0.0076,EVED_BTC
120,1568678400,2019/9/17,7.60E-07,7.60E-07,7.60E-07,7.60E-07,10000,0.0076,EVED_BTC
121,1568764800,2019/9/18,7.30E-07,7.30E-07,7.30E-07,7.30E-07,10000,0.0073,EVED_BTC
122,1568851200,2019/9/19,7.30E-07,7.30E-07,7.30E-07,7.30E-07,10000,0.0073,EVED_BTC
123,1568937600,2019/9/20,7.30E-07,7.30E-07,7.30E-07,7.30E-07,10000,0.0073,EVED_BTC
124,1569024000,2019/9/21,7.30E-07,7.30E-07,7.30E-07,7.30E-07,0,0,EVED_BTC
125,1569110400,2019/9/22,1.00E-07,1.00E-07,1.00E-07,1.00E-07,2735,0.0002735,EVED_BTC
126,1569196800,2019/9/23,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0,0,EVED_BTC
127,1569283200,2019/9/24,6.50E-07,6.50E-07,6.50E-07,6.50E-07,10000,0.0065,EVED_BTC
