,open_time,open,close,highest,lowest,volume,amount,market_name
0,1587859200,5.0e-7,5.8e-7,8.1e-7,5e-8,662812,0.35489145,HUSL_BTC
1,1587945600,4.9e-7,1.4e-7,5.8e-7,6e-8,5801887,1.42355797,HUSL_BTC
2,1588032000,1.2e-7,1.2e-7,1.6e-7,7e-8,7982101,0.93342625,HUSL_BTC
3,1588118400,1.2e-7,9e-8,1.4e-7,7e-8,7588647,0.72521888,HUSL_BTC
4,1588204800,1.0e-7,8e-8,1.4e-7,5e-8,6548133,0.56930548,HUSL_BTC
5,1588291200,5e-8,7e-8,8e-8,5e-8,8509080,0.55486154,HUSL_BTC
6,1588377600,5e-8,5e-8,9e-8,5e-8,7413732,0.42575201,HUSL_BTC
7,1588464000,6e-8,5e-8,8e-8,4e-8,8105967,0.49203526,HUSL_BTC
8,1588550400,6e-8,5e-8,8e-8,4e-8,8225234,0.44430984,HUSL_BTC
9,1588636800,5e-8,5e-8,7e-8,5e-8,7640303,0.4033773,HUSL_BTC
10,1588723200,5e-8,5e-8,8e-8,4e-8,26857946,1.54969613,HUSL_BTC
11,1588809600,5e-8,5e-8,7e-8,4e-8,68458552,3.70146485,HUSL_BTC
12,1588896000,5e-8,5e-8,6e-8,5e-8,18133605,0.99738686,HUSL_BTC
13,1588982400,5e-8,5e-8,6e-8,4e-8,6918004,0.33957184,HUSL_BTC
14,1589068800,5e-8,5e-8,5e-8,5e-8,12515536,0.6257768,HUSL_BTC
15,1589155200,5e-8,5e-8,5e-8,5e-8,13765533,0.68827665,HUSL_BTC
16,1589241600,5e-8,4e-8,5e-8,4e-8,23806021,0.96733502,HUSL_BTC
17,1589328000,4e-8,4e-8,4e-8,4e-8,12729533,0.50918132,HUSL_BTC
18,1589414400,4e-8,4e-8,4e-8,2e-8,3908105,0.1558147,HUSL_BTC
19,1589500800,4e-8,4e-8,8e-8,4e-8,23678187,0.98031759,HUSL_BTC
20,1589587200,4e-8,4e-8,7e-8,4e-8,32188792,1.4690458,HUSL_BTC
21,1589673600,4e-8,4e-8,4e-8,4e-8,24104129,0.96416516,HUSL_BTC
22,1589760000,4e-8,5e-8,5e-8,4e-8,21827605,0.87363576,HUSL_BTC
23,1589846400,3e-8,5e-8,7e-8,2e-8,18243140,0.95850433,HUSL_BTC
24,1589932800,5e-8,5e-8,5e-8,5e-8,43217004,2.1608502,HUSL_BTC
25,1590019200,5e-8,4e-8,5e-8,4e-8,23602408,1.0656837,HUSL_BTC
26,1590105600,4e-8,4e-8,4e-8,4e-8,19471867,0.77887468,HUSL_BTC
27,1590192000,4e-8,4e-8,4e-8,4e-8,23493678,0.93974712,HUSL_BTC
28,1590278400,4e-8,4e-8,4e-8,4e-8,23201203,0.92804812,HUSL_BTC
29,1590364800,4e-8,4e-8,4e-8,4e-8,17834407,0.71337628,HUSL_BTC
30,1590451200,4e-8,8e-8,1.0e-7,4e-8,25636266,1.43680761,HUSL_BTC
31,1590537600,9e-8,7e-8,9e-8,4e-8,14324650,1.03442499,HUSL_BTC
32,1590624000,7e-8,8e-8,9e-8,4e-8,13775613,0.87353424,HUSL_BTC
33,1590710400,8e-8,8e-8,9e-8,4e-8,14973666,1.06104216,HUSL_BTC
34,1590796800,8e-8,7e-8,9e-8,4e-8,13955679,1.03945671,HUSL_BTC
35,1590883200,7e-8,7e-8,9e-8,4e-8,15579904,1.14067624,HUSL_BTC
36,1590969600,7e-8,6e-8,9e-8,4e-8,14646642,0.98973085,HUSL_BTC
37,1591056000,6e-8,9e-8,9e-8,4e-8,15622713,1.25617656,HUSL_BTC
38,1591142400,9e-8,7e-8,9e-8,6e-8,14863175,1.09452967,HUSL_BTC
39,1591228800,7e-8,6e-8,8e-8,6e-8,9928794,0.73344522,HUSL_BTC
40,1591315200,6e-8,6e-8,6e-8,5e-8,15174613,0.82714165,HUSL_BTC
41,1591401600,6e-8,5e-8,6e-8,5e-8,15307036,0.77605222,HUSL_BTC
42,1591488000,5e-8,5e-8,5e-8,5e-8,4115875,0.20579375,HUSL_BTC
43,1591574400,5e-8,5e-8,5e-8,5e-8,13540181,0.67700905,HUSL_BTC
44,1591660800,5e-8,5e-8,5e-8,5e-8,14769048,0.7384524,HUSL_BTC
45,1591747200,5e-8,5e-8,5e-8,5e-8,14134858,0.7067429,HUSL_BTC
46,1591833600,5e-8,4e-8,5e-8,4e-8,13911690,0.68792276,HUSL_BTC
47,1591920000,4e-8,4e-8,5e-8,4e-8,13965881,0.64177425,HUSL_BTC
48,1592006400,4e-8,5e-8,5e-8,4e-8,3974517,0.1793933,HUSL_BTC
