,open_time,open,close,highest,lowest,volume,amount,market_name
0,1550966400,4117.99,3742.29,4193.96,3724.68,10453.95279262,41736259.253504186507206,BTC_USD
1,1551052800,3744.55,3829.49,3870.11,3744.55,10437.46002282,39766896.488869564332076,BTC_USD
2,1551139200,3830.45,3811.7,3858.17,3778.65,10681.97386467,40760483.572693664015673,BTC_USD
3,1551225600,3792.14,3790.92,3848.28,3704.19000001,10829.33687976,41271441.344823876635744,BTC_USD
4,1551312000,3793.16,3811.99999999,3869.38,3793.07,10525.5067231,40272354.224192598555243,BTC_USD
5,1551398400,3811.99999999,3823.84,3865.6,3802.9,11689.9761745,44798172.513127713111652,BTC_USD
6,1551484800,3822.18,3818.58,3849,3772.55,11211.60723959,42814246.99592772756552,BTC_USD
7,1551571200,3820,3808.07,3853,3799.1,12041.7176997,45976378.09868846637404,BTC_USD
8,1551657600,3807.99,3718.89,3828.87,3600,11633.19354335,43445114.461128296562406,BTC_USD
9,1551744000,3720,3858.88,3874.43,3704.62,11384.51182299,43046290.213017928972523,BTC_USD
10,1551830400,3857.37,3839.99999999,3880.52,3718,11964.51540999,45907045.855516245355115,BTC_USD
11,1551916800,3839.99999999,3874.34,3899,3834.71,11109.87419732,42961545.809451933347623,BTC_USD
12,1552003200,3877,3867.36,3931.57,3801.61,11047.8351885,43001135.4145558867072161,BTC_USD
13,1552089600,3862.99,3879.99999999,3965.81,3840.66,11327.16687382,44232731.535946102224235,BTC_USD
14,1552176000,3879.99999999,3906.11999999,3934.63,3849.99999999,11412.0152238,44422038.5130942090107066,BTC_USD
15,1552262400,3906.11999999,3873.02,3906.12,3828.5,12089.56122805,46905020.6474291185113608,BTC_USD
16,1552348800,3871.48,3882.72,3906.11999999,3800,10646.99540125,41171706.6277368260468832,BTC_USD
17,1552435200,3885.2,3867.00000002,3897,3846.43,11575.65804935,44823730.8783999041235684,BTC_USD
18,1552521600,3867.00000002,3879.58,3922.88,3847.26,8202.84942475,31777197.3622970405183096,BTC_USD
19,1552608000,3880.94,3923.09999999,3923.09999999,3866,11382.05396636,44444778.5867794560389432,BTC_USD
20,1552694400,3923.09999999,4005.77,4023,3901.57,11725.18791916,46682669.6202373495627144,BTC_USD
21,1552780800,4006.92,3981.87,4009.19,3950,11302.52556015,45017953.8582995178152158,BTC_USD
22,1552867200,3982.5,3988.72,4032.61,3950,11122.17409332,44358573.283490560270643,BTC_USD
23,1552953600,3988.03,4013.79999999,4026.99999999,3955,10625.62021612,42420437.2408139007506099,BTC_USD
24,1553040000,4013.79999999,4043,4046.74,3966.39,9685.90217953,38869850.2971069694089552,BTC_USD
25,1553126400,4042.34,3981.27,4069.3,3931.56999999,10806.37517681,43390610.910093571620783,BTC_USD
26,1553212800,3982.94,3990.96,4005,3960.52,10888.57699223,43444871.3799395067,BTC_USD
27,1553299200,3987.87,4006.14,4015,3964.28,11835.82689345,47299407.9460345853156208,BTC_USD
28,1553385600,4000.21,3992.47,4013,3962.16,7903.62802346,31546412.5290531285816338,BTC_USD
29,1553472000,3972.97,3910.23,3990.736,3859.835,601.76175182,2367506.9956074,BTC_USD
30,1553558400,3906.401,3917.974,3922.86,3882.108,678.50013725,2651122.9540636,BTC_USD
31,1553644800,3917.974,4028.013,4034.255,3914.85,783.47611833,3131975.8136038,BTC_USD
32,1553731200,4024.749,4012.891,4024.749,3987.535,513.24639199,2058163.1090462,BTC_USD
33,1553817600,4011.914,4090,4098.045,4007,1000.94472308,4066612.4425189,BTC_USD
34,1553904000,4089.999,4094.444,4128.71,4044.284,420.74089587,1719731.5682706,BTC_USD
35,1553990400,4094.7,4090.204,4100.667,4060.228,432.85397137,1769902.6627082,BTC_USD
36,1554076800,4090.204,4138.7,4149.15,4054.091,617.74886623,2549360.098093,BTC_USD
37,1554163200,4138.7,4903.79,5000,4134.244,4183.60880679,19653349.775243,BTC_USD
38,1554249600,4902.46,4970.639,5340.56,4810,3708.44607734,18688732.666915,BTC_USD
39,1554336000,4967.223,4901.899,5071.87,4785.341,1322.9797716,6545526.8182486,BTC_USD
40,1554422400,4916.5,5037.49,5065.18,4889.208,807.17510072,4029706.7024424,BTC_USD
41,1554508800,5053.45,5033.12,5053.45,5033.12,96.002354,484047.62787327,BTC_USD
42,1554595200,5045.05,5174.79,5211.73,5030.83,9699.694585,49695715.56866693,BTC_USD
43,1554681600,5159.29,5242.99,5254.5,5046.71,8717.220456,45118798.51229771,BTC_USD
44,1554768000,5231.53,5153.92,5258.82,5080.96,11123.642317,57405479.78653519,BTC_USD
45,1554854400,5150.36,5307.1,5400,5141.76,11520.420435,60232634.44760808,BTC_USD
46,1554940800,5316.92,5023.43,5330.16,4933.96,11377.164222,58006378.02826192,BTC_USD
47,1555027200,5015.98,5049.65,5086.98,4850.73,11725.532191,58774869.20404094,BTC_USD
48,1555113600,5045.52,5050.72,5104.11,5008.1,11033.029612,55766719.02387139,BTC_USD
49,1555200000,5044.13,5130,5166.13,5012.54,9533.261885,48231351.36621587,BTC_USD
50,1555286400,5132.63,5035.78,5166.44,4956,11383.418245,58117345.65932618,BTC_USD
51,1555372800,5024.99,5177,5217.57,4985.21,11164.565187,56773757.95203575,BTC_USD
52,1555459200,5180.03,5203.85,5245.76,5122.46,11455.785336,59465103.40282136,BTC_USD
53,1555545600,5204.17,5250.16,5284.44,5042.96,11341.343819,59432817.362239,BTC_USD
54,1555632000,5250.16,5258.53,5284.2,5156.09,11598.106447,60751761.78383097,BTC_USD
55,1555718400,5261.19,5289.95,5309.92,5016.7,11354.201272,59967038.24040355,BTC_USD
56,1555804800,5289.95,5240.99,5303.99,5014,11290.755932,59284237.30874963,BTC_USD
57,1555891200,5240.99,5231.69,5403.6,5014,9802.421397,51642387.26734566,BTC_USD
58,1555977600,5231.69,5498.74,5616,5225,11606.498998,63403956.38176802,BTC_USD
59,1556064000,5490,5412.18,5579.27,5222.01,10322.790628,56189741.83435168,BTC_USD
60,1556150400,5415.01,5222.62,5518.31,5100,11581.41132,62625310.32118604,BTC_USD
61,1556236800,5212.61,5310.9,5478.68,5011.11,10913.071831,57836727.54423445,BTC_USD
62,1556323200,5311.93,5294.6,5347,3261,11064.985973,58667059.55161475,BTC_USD
63,1556409600,5295.47,5299.99,5361.3,5249,11175.255785,59338958.87682598,BTC_USD
64,1556496000,5298.99,5236.19,5350,5189.02,11428.934822,60174033.53549559,BTC_USD
65,1556582400,5244.31,5316.06,5356.77,5160.09,11372.115519,59915382.69525093,BTC_USD
66,1556668800,5321.95,5392.89,5403,5158,11055.002583,59183745.65158448,BTC_USD
67,1556755200,5384.72,5499.8,5500,5373.26,10782.968883,58580394.43977408,BTC_USD
68,1556841600,5491.18,5771.5,5867.34,5393.1,9933.366372,56745590.99882636,BTC_USD
69,1556928000,5778.6,5838.28,5900,5401,11277.081794,65115451.60584553,BTC_USD
70,1557014400,5837.21,5776.85,5837.21,5401,11652.233706,67275868.96367649,BTC_USD
71,1557100800,5781.73,5690.89,5801.98,5456,10923.010884,62486628.22641721,BTC_USD
72,1557187200,5684.26,5847.05,6022,5457,10728.511268,63290021.40356094,BTC_USD
73,1557273600,5824.92,5966.69,5989,5393,10860.205399,64160212.51883585,BTC_USD
