,open_time,open,close,highest,lowest,volume,amount,market_name
0,1560729600,0.0000082,0.0000083,0.0000084,0.0000076,84379,0.6848077,GEX_BTC
1,1560816000,0.0000081,0.0000084,0.0000086,0.0000075,380812,3.1481332,GEX_BTC
2,1560902400,0.0000082,0.0000103,0.0000121,0.0000075,377488.05,3.19957472,GEX_BTC
3,1560988800,0.0000097,0.0000085,0.0000114,0.0000082,356581.2,3.225252692,GEX_BTC
4,1561075200,0.0000091,0.0000084,0.0000185,0.0000082,351602,3.0741808,GEX_BTC
5,1561161600,0.0000084,0.0000082,0.0000097,0.0000075,399352,3.49452461,GEX_BTC
6,1561248000,0.0000083,0.0000082,0.0000086,0.0000082,386936,3.2335074,GEX_BTC
7,1561334400,0.0000085,0.0000083,0.0000086,0.0000079,358131.98,2.992192117,GEX_BTC
8,1561420800,0.0000083,0.0000085,0.0000088,0.0000082,362593,3.0364053,GEX_BTC
9,1561507200,0.0000085,0.0000083,0.0000086,0.0000071,382198.01,3.199983575,GEX_BTC
10,1561593600,0.0000082,0.0000083,0.0000086,0.0000082,409100,3.4256968,GEX_BTC
11,1561680000,0.0000084,0.0000085,0.0000086,0.0000082,372521,3.1106919,GEX_BTC
12,1561766400,0.0000086,0.0000077,0.0000086,0.0000064,363089.84,2.903034176,GEX_BTC
13,1561852800,0.0000072,0.0000067,0.0000078,0.0000064,380683,2.7317195,GEX_BTC
14,1561939200,0.0000067,0.0000073,0.0000076,0.0000056,332021,2.277639428,GEX_BTC
15,1562025600,0.0000072,0.0000082,0.0000085,0.0000067,380909.24,2.847973256,GEX_BTC
16,1562112000,0.0000083,0.0000102,0.0000145,0.0000083,369430.2,3.819699645,GEX_BTC
17,1562198400,0.0000103,0.0000083,0.0000111,0.0000081,385927.05,3.300107291,GEX_BTC
18,1562284800,0.0000084,0.0000084,0.000011,0.0000073,363868.79,3.038155874,GEX_BTC
19,1562371200,0.0000082,0.0000084,0.000011,0.0000074,361602.39,2.999190917,GEX_BTC
20,1562457600,0.0000082,0.0000084,0.0000107,0.000007,362335.47,3.034592721,GEX_BTC
21,1562544000,0.0000085,0.000009,0.0000094,0.0000075,419987,3.4850597,GEX_BTC
22,1562630400,0.0000087,0.0000086,0.000011,0.0000085,354820.49,3.175002051,GEX_BTC
23,1562716800,0.0000085,0.0000092,0.00001,0.0000085,356856.51,3.190595235,GEX_BTC
24,1562803200,0.0000086,0.0000082,0.0000094,0.0000082,379137.45,3.183988825,GEX_BTC
25,1562889600,0.0000083,0.0000067,0.0000085,0.0000067,328283.65,2.69837685,GEX_BTC
26,1562976000,0.0000083,0.0000066,0.0000087,0.0000066,278384.21,2.273796447,GEX_BTC
27,1563062400,0.0000071,0.0000063,0.0000073,0.0000057,140387.57,0.913992471,GEX_BTC
28,1563148800,0.000006,0.0000059,0.0000066,6.00E-07,363127.4,2.15612898,GEX_BTC
