,open_time,open,close,highest,lowest,volume,amount,market_name
0,1577145600,0.00899999,0.008989,0.00899999,0.0078,21,0.17917785,ASTR_ETH
1,1577232000,0.008989,0.008989,0.008989,0.008989,0,0,ASTR_ETH
2,1577318400,0.0078,0.00891,0.008961,0.0002,660,1.3474774,ASTR_ETH
3,1577404800,0.0002,0.0002,0.0002,0.0002,117,0.0234,ASTR_ETH
4,1577491200,0.0002,0.0002,0.0002,0.0002,0,0,ASTR_ETH
5,1577577600,0.0002,0.0002,0.0002,0.0002,0,0,ASTR_ETH
6,1577664000,0.0025,0.0025,0.0025,0.0025,4,0.01,ASTR_ETH
7,1577750400,0.0003,0.0003,0.0003,0.0003,100,0.03,ASTR_ETH
8,1577836800,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
9,1577923200,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
10,1578009600,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
11,1578096000,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
12,1578182400,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
13,1578268800,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
14,1578355200,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
15,1578441600,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
16,1578528000,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
17,1578614400,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
18,1578700800,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
19,1578787200,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
20,1578873600,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
21,1578960000,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
22,1579046400,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
23,1579132800,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
24,1579219200,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
25,1579305600,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
26,1579392000,0.0003,0.0003,0.0003,0.0003,0,0,ASTR_ETH
