,timestamp,,open_price,highest_price,lowest_price,current_price, volume ,market_name
0,1.56686E+12,2019/8/27,0.000808625,0.11,0.000808625,0.06149," 868,994 ",LHD_BHD
1,1.56695E+12,2019/8/28,0.061627,0.061999,0.02888,0.048979," 467,679 ",LHD_BHD
2,1.56704E+12,2019/8/29,0.048956,0.07,0.047222,0.069," 325,025 ",LHD_BHD
3,1.56712E+12,2019/8/30,0.06547,0.0695,0.059599,0.068892," 183,043 ",LHD_BHD
4,1.56721E+12,2019/8/31,0.069015,0.09596,0.066807,0.091101," 166,309 ",LHD_BHD
5,1.5673E+12,2019/9/1,0.09096,0.091318,0.076127,0.077497," 191,957 ",LHD_BHD
6,1.56738E+12,2019/9/2,0.077596,0.084196,0.068502,0.079999," 238,025 ",LHD_BHD
7,1.56747E+12,2019/9/3,0.079989,0.0988,0.078635,0.091725," 312,692 ",LHD_BHD
8,1.56756E+12,2019/9/4,0.091725,0.099999,0.08332,0.088165," 283,021 ",LHD_BHD
9,1.56764E+12,2019/9/5,0.088135,0.0934,0.086666,0.090551," 292,127 ",LHD_BHD
10,1.56773E+12,2019/9/6,0.09041,0.0968,0.082,0.087331," 161,593 ",LHD_BHD
11,1.56781E+12,2019/9/7,0.08789,0.088,0.08,0.084958," 86,881 ",LHD_BHD
12,1.5679E+12,2019/9/8,0.085096,0.0914,0.084,0.090618," 186,649 ",LHD_BHD
13,1.56799E+12,2019/9/9,0.090597,0.0969,0.086667,0.093707," 264,272 ",LHD_BHD
14,1.56807E+12,2019/9/10,0.093811,0.096401,0.08501,0.090175," 193,001 ",LHD_BHD
15,1.56816E+12,2019/9/11,0.090175,0.09345,0.088456,0.090979," 331,698 ",LHD_BHD
16,1.56825E+12,2019/9/12,0.091079,0.092719,0.085,0.088461," 156,685 ",LHD_BHD
17,1.56833E+12,2019/9/13,0.088546,0.091998,0.08688,0.088705," 162,660 ",LHD_BHD
18,1.56842E+12,2019/9/14,0.088705,0.093999,0.086883,0.09," 27,142 ",LHD_BHD
19,1.56851E+12,2019/9/15,0.09,0.09219,0.0869,0.091024," 340,901 ",LHD_BHD
20,1.56859E+12,2019/9/16,0.091034,0.094529,0.088004,0.091315," 302,710 ",LHD_BHD
21,1.56868E+12,2019/9/17,0.091344,0.0978,0.089102,0.094495," 378,980 ",LHD_BHD
22,1.56876E+12,2019/9/18,0.09134,0.0978,0.09134,0.096042," 232,087 ",LHD_BHD
23,1.56885E+12,2019/9/19,0.095933,0.11,0.093003,0.103192," 218,276 ",LHD_BHD
24,1.56894E+12,2019/9/20,0.103273,0.12,0.095001,0.100546," 436,018 ",LHD_BHD
25,1.56902E+12,2019/9/21,0.098753,0.102796,0.095014,0.100234," 542,869 ",LHD_BHD
26,1.56911E+12,2019/9/22,0.099999,0.1031,0.094499,0.096956," 458,915 ",LHD_BHD
