,timestamp,,open_price,highest_price,lowest_price,current_price,,,volume,market_name
0,1.57196E+12,2019/10/25,0.0000127,0.0001,0.0000127,0.00007631,5.6923,0.000434379,490819775,XHD_BHD
1,1.57205E+12,2019/10/26,0.00007799,0.000165,0.00007575,0.00009422,5.8462,0.000550829,862696032,XHD_BHD
2,1.57213E+12,2019/10/27,0.00009416,0.00010575,0.0000552,0.00009417,5.4387,0.000512162,927626618,XHD_BHD
3,1.57222E+12,2019/10/28,0.00009416,0.00014,0.00006666,0.00012599,6.4498,0.00081261,771221035,XHD_BHD
4,1.57231E+12,2019/10/29,0.00012511,0.00013999,0.000118,0.00013847,5.9686,0.000826472,1016790084,XHD_BHD
5,1.57239E+12,2019/10/30,0.00013825,0.000206,0.00013253,0.00019582,6.2339,0.001220722,1170996536,XHD_BHD
6,1.57248E+12,2019/10/31,0.00019582,0.00021112,0.00019101,0.000205,6.0728,0.001244924,1134542849,XHD_BHD
7,1.57257E+12,2019/11/1,0.00020416,0.00022836,0.00019826,0.00021486,5.6867,0.001221844,1051070193,XHD_BHD
8,1.57265E+12,2019/11/2,0.00021517,0.000225,0.00020601,0.00022027,5.8399,0.001286355,703591643,XHD_BHD
9,1.57274E+12,2019/11/3,0.00022,0.0002225,0.00012,0.000144,5.6177,0.000808949,587205473,XHD_BHD
10,1.57283E+12,2019/11/4,0.00013244,0.00017799,0.00009712,0.00015045,5.0802,0.000764316,475473101,XHD_BHD
11,1.57291E+12,2019/11/5,0.00015022,0.00015045,0.00011502,0.00012977,4.8434,0.000628528,123143724,XHD_BHD
12,1.573E+12,2019/11/6,0.000126,0.000131,0.00006666,0.0000755,5.0723,0.000382959,151083197,XHD_BHD
13,1.57308E+12,2019/11/7,0.00008285,0.000083,0.00006028,0.00006101,6.4893,0.000395912,108069664,XHD_BHD
14,1.57317E+12,2019/11/8,0.00006126,0.00007408,0.00005002,0.0000593,6.6272,0.000392993,293362208,XHD_BHD
15,1.57326E+12,2019/11/9,0.0000592,0.00007999,0.0000591,0.00007654,6.3098,0.000482952,199510444,XHD_BHD
16,1.57334E+12,2019/11/10,0.00007621,0.00009142,0.00007511,0.0000866,6.2588,0.000542012,182996988,XHD_BHD
17,1.57343E+12,2019/11/11,0.0000866,0.0000945,0.00008255,0.00008306,6.2005,0.000515014,78202147,XHD_BHD
