,timestamp,,open_price,highest_price,lowest_price,current_price,volume,market_name
0,1.55693E+12,2019/5/4,0.0399,0.0399,0.018,0.023,10526145,BCT_USDT
1,1.55701E+12,2019/5/5,0.023,0.026,0.022,0.024,4202398,BCT_USDT
2,1.5571E+12,2019/5/6,0.0245,0.0255,0.0231,0.0235,945275,BCT_USDT
3,1.55719E+12,2019/5/7,0.0215,0.024,0.0215,0.0239,382861,BCT_USDT
4,1.55727E+12,2019/5/8,0.0238,0.0238,0.0215,0.0216,442966,BCT_USDT
5,1.55736E+12,2019/5/9,0.0215,0.0229,0.021,0.0218,208472,BCT_USDT
6,1.55745E+12,2019/5/10,0.022,0.023,0.022,0.0228,215826,BCT_USDT
7,1.55753E+12,2019/5/11,0.024,0.024,0.024,0.024,111,BCT_USDT
8,1.55762E+12,2019/5/12,0.024,0.0244,0.0206,0.022,1008298,BCT_USDT
9,1.55771E+12,2019/5/13,0.022,0.0225,0.0217,0.0222,143221,BCT_USDT
10,1.55779E+12,2019/5/14,0.0222,0.027,0.0222,0.0248,1076652,BCT_USDT
11,1.55788E+12,2019/5/15,0.0248,0.027,0.0222,0.0265,674315,BCT_USDT
12,1.55796E+12,2019/5/16,0.0251,0.0267,0.0249,0.0259,297973,BCT_USDT
13,1.55805E+12,2019/5/17,0.025,0.027,0.0222,0.024,1615936,BCT_USDT
14,1.55814E+12,2019/5/18,0.0235,0.0246,0.0235,0.0246,15074,BCT_USDT
15,1.55822E+12,2019/5/19,0.0247,0.0247,0.0236,0.0236,2505,BCT_USDT
16,1.55831E+12,2019/5/20,0.0236,0.0248,0.0235,0.0241,194694,BCT_USDT
17,1.5584E+12,2019/5/21,0.025,0.0262,0.0235,0.0262,106772,BCT_USDT
18,1.55848E+12,2019/5/22,0.0254,0.0265,0.0247,0.0262,1081818,BCT_USDT
19,1.55857E+12,2019/5/23,0.0251,0.0262,0.0235,0.0247,8286193,BCT_USDT
20,1.55866E+12,2019/5/24,0.0254,0.0279,0.0247,0.0272,9022797,BCT_USDT
21,1.55874E+12,2019/5/25,0.0265,0.028,0.025,0.027,3740221,BCT_USDT
22,1.55883E+12,2019/5/26,0.0279,0.0299,0.0267,0.029,922330,BCT_USDT
23,1.55892E+12,2019/5/27,0.0286,0.03,0.0267,0.0296,555388,BCT_USDT
24,1.559E+12,2019/5/28,0.0324,0.033,0.0258,0.03,7779127,BCT_USDT
25,1.55909E+12,2019/5/29,0.0293,0.03,0.028,0.029,141257,BCT_USDT
26,1.55917E+12,2019/5/30,0.0272,0.0273,0.0272,0.0273,39924,BCT_USDT
27,1.55926E+12,2019/5/31,0.0273,0.0273,0.0273,0.0273,0,BCT_USDT
28,1.55935E+12,2019/6/1,0.0276,0.0276,0.0273,0.0273,42740,BCT_USDT
29,1.55943E+12,2019/6/2,0.0273,0.0273,0.0273,0.0273,0,BCT_USDT
30,1.55952E+12,2019/6/3,0.029,0.029,0.0264,0.027,15813,BCT_USDT
31,1.55961E+12,2019/6/4,0.027,0.028,0.0269,0.0273,120483,BCT_USDT
32,1.55969E+12,2019/6/5,0.027,0.027,0.027,0.027,11861,BCT_USDT
33,1.55978E+12,2019/6/6,0.0271,0.0275,0.0271,0.0274,13050,BCT_USDT
34,1.55987E+12,2019/6/7,0.0274,0.0274,0.0274,0.0274,0,BCT_USDT
35,1.55995E+12,2019/6/8,0.0274,0.0274,0.0274,0.0274,0,BCT_USDT
36,1.56004E+12,2019/6/9,0.028,0.028,0.028,0.028,218,BCT_USDT
37,1.56012E+12,2019/6/10,0.027,0.0278,0.027,0.0278,94856,BCT_USDT
38,1.56021E+12,2019/6/11,0.028,0.028,0.028,0.028,3429,BCT_USDT
39,1.5603E+12,2019/6/12,0.0274,0.0274,0.0274,0.0274,3472,BCT_USDT
40,1.56038E+12,2019/6/13,0.0274,0.0278,0.027,0.027,263840,BCT_USDT
41,1.56047E+12,2019/6/14,0.0271,0.0271,0.027,0.027,77051,BCT_USDT
42,1.56056E+12,2019/6/15,0.0278,0.028,0.0271,0.0271,84479,BCT_USDT
43,1.56064E+12,2019/6/16,0.0271,0.0275,0.027,0.0275,139772,BCT_USDT
44,1.56073E+12,2019/6/17,0.0277,0.0277,0.027,0.0273,130559,BCT_USDT
45,1.56082E+12,2019/6/18,0.0275,0.028,0.027,0.027,232561,BCT_USDT
46,1.5609E+12,2019/6/19,0.027,0.027,0.027,0.027,43896,BCT_USDT
47,1.56099E+12,2019/6/20,0.027,0.027,0.027,0.027,80524,BCT_USDT
48,1.56108E+12,2019/6/21,0.027,0.0277,0.027,0.0275,84012,BCT_USDT
