,timestamp,open_price,highest_price,lowest_price,current_price,volume,market_name
0,1566864000000,0.0008086250,0.110000,0.0008086250,0.061490,868994.0000000000,LHD_BHD
1,1566950400000,0.061627,0.061999,0.028880,0.048979,467679.0000000000,LHD_BHD
2,1567036800000,0.048956,0.070000,0.047222,0.069000,325025.0000000000,LHD_BHD
3,1567123200000,0.065470,0.069500,0.059599,0.068892,183043.0000000000,LHD_BHD
4,1567209600000,0.069015,0.095960,0.066807,0.091101,166309.0000000000,LHD_BHD
5,1567296000000,0.090960,0.091318,0.076127,0.077497,191957.0000000000,LHD_BHD
6,1567382400000,0.077596,0.084196,0.068502,0.079999,238025.0000000000,LHD_BHD
7,1567468800000,0.079989,0.098800,0.078635,0.091725,312692.0000000000,LHD_BHD
8,1567555200000,0.091725,0.0999990000,0.0833200000,0.088165,283021.0000000000,LHD_BHD
9,1567641600000,0.088135,0.093400,0.0866660000,0.090551,292127.0000000000,LHD_BHD
10,1567728000000,0.090410,0.0968000000,0.082000,0.087331,161593.0000000000,LHD_BHD
11,1567814400000,0.087890,0.0880000000,0.0800000000,0.084958,86881.0000000000,LHD_BHD
12,1567900800000,0.085096,0.091400,0.084000,0.090618,186649.0000000000,LHD_BHD
13,1567987200000,0.090597,0.0969000000,0.086667,0.093707,264272.0000000000,LHD_BHD
14,1568073600000,0.093811,0.096401,0.085010,0.090175,193001.0000000000,LHD_BHD
15,1568160000000,0.090175,0.093450,0.088456,0.090979,331698.0000000000,LHD_BHD
16,1568246400000,0.091079,0.092719,0.085000,0.088461,156685.0000000000,LHD_BHD
17,1568332800000,0.088546,0.091998,0.086880,0.088705,162660.0000000000,LHD_BHD
18,1568419200000,0.088705,0.093999,0.086883,0.0900000000,27142.0000000000,LHD_BHD
19,1568505600000,0.0900000000,0.092190,0.086900,0.091024,340901.0000000000,LHD_BHD
20,1568592000000,0.091034,0.094529,0.088004,0.091315,302710.0000000000,LHD_BHD
21,1568678400000,0.091344,0.0978000000,0.089102,0.094495,378980.0000000000,LHD_BHD
22,1568764800000,0.091340,0.0978000000,0.091340,0.096042,232087.0000000000,LHD_BHD
23,1568851200000,0.095933,0.1100000000,0.093003,0.103192,218276.0000000000,LHD_BHD
24,1568937600000,0.103273,0.120000,0.095001,0.100546,436018.0000000000,LHD_BHD
25,1569024000000,0.098753,0.102796,0.095014,0.100234,542869.0000000000,LHD_BHD
26,1569110400000,0.099999,0.103100,0.094499,0.096956,458915.0000000000,LHD_BHD
27,1569196800000,0.097026,0.099980,0.092000,0.097028,274265.0000000000,LHD_BHD
28,1569283200000,0.097026,0.099940,0.093554,0.098264,429599.0000000000,LHD_BHD
29,1569369600000,0.098297,0.102374,0.0946680000,0.098999,370066.0000000000,LHD_BHD
30,1569456000000,0.099000,0.103098,0.097000,0.101981,1022752.0000000000,LHD_BHD
31,1569542400000,0.101981,0.1060140000,0.097901,0.101684,236691.0000000000,LHD_BHD
32,1569628800000,0.102198,0.104013,0.099103,0.101667,119880.0000000000,LHD_BHD
33,1569715200000,0.101651,0.1047900000,0.099900,0.102743,166762.0000000000,LHD_BHD
34,1569801600000,0.102666,0.1060000000,0.100060,0.104010,286997.0000000000,LHD_BHD
35,1569888000000,0.104010,0.105879,0.100120,0.101175,403295.0000000000,LHD_BHD
36,1569974400000,0.101089,0.104400,0.100771,0.103622,600357.0000000000,LHD_BHD
37,1570060800000,0.103707,0.103999,0.100800,0.103707,273174.0000000000,LHD_BHD
38,1570147200000,0.103750,0.104000,0.092003,0.096581,382257.0000000000,LHD_BHD
39,1570233600000,0.096629,0.099900,0.094327,0.096894,329179.0000000000,LHD_BHD
40,1570320000000,0.097500,0.097500,0.092002,0.094294,345336.0000000000,LHD_BHD
41,1570406400000,0.094429,0.099500,0.090001,0.095190,485437.0000000000,LHD_BHD
42,1570492800000,0.095190,0.0998000000,0.094001,0.099102,522291.0000000000,LHD_BHD
43,1570579200000,0.099086,0.099543,0.0669160000,0.078935,215652.0000000000,LHD_BHD
44,1570665600000,0.069905,0.086599,0.061090,0.075357,372093.0000000000,LHD_BHD
45,1570752000000,0.075441,0.0866500000,0.063057,0.078313,191369.0000000000,LHD_BHD
46,1570838400000,0.078488,0.087649,0.076510,0.085035,389989.0000000000,LHD_BHD
47,1570924800000,0.085556,0.086000,0.079321,0.081492,253128.0000000000,LHD_BHD
48,1571011200000,0.081870,0.085989,0.080729,0.082190,392122.0000000000,LHD_BHD
49,1571097600000,0.082000,0.0900000000,0.081400,0.087237,311591.0000000000,LHD_BHD
50,1571184000000,0.086500,0.088997,0.082501,0.084933,618108.0000000000,LHD_BHD
51,1571270400000,0.085297,0.086273,0.081500,0.084384,569916.0000000000,LHD_BHD
52,1571356800000,0.084660,0.084886,0.076712,0.083499,609198.0000000000,LHD_BHD
53,1571443200000,0.083500,0.0879980000,0.078002,0.079434,675657.0000000000,LHD_BHD
54,1571529600000,0.079175,0.089997,0.078010,0.086231,382810.0000000000,LHD_BHD
55,1571616000000,0.086231,0.091999,0.080000,0.087406,487124.0000000000,LHD_BHD
56,1571702400000,0.088003,0.089999,0.083100,0.083937,438846.0000000000,LHD_BHD
57,1571788800000,0.084385,0.087000,0.063102,0.069169,635870.0000000000,LHD_BHD
58,1571875200000,0.069624,0.077999,0.063103,0.068088,710405.0000000000,LHD_BHD
59,1571961600000,0.067000,0.070998,0.057881,0.065931,489481.0000000000,LHD_BHD
60,1572048000000,0.065923,0.070998,0.0500000000,0.066047,417568.0000000000,LHD_BHD
61,1572134400000,0.066162,0.068000,0.034230,0.053427,771926.0000000000,LHD_BHD
62,1572220800000,0.053225,0.067979,0.0520050000,0.064998,268021.0000000000,LHD_BHD
63,1572307200000,0.064900,0.064997,0.055000,0.057549,326910.0000000000,LHD_BHD
64,1572393600000,0.056641,0.059997,0.043282,0.056595,402404.0000000000,LHD_BHD
65,1572480000000,0.045707,0.059791,0.045505,0.057469,531521.0000000000,LHD_BHD
66,1572566400000,0.0561160000,0.058899,0.0530570000,0.055928,533749.0000000000,LHD_BHD
67,1572652800000,0.055962,0.057884,0.0530950000,0.057033,355761.0000000000,LHD_BHD
68,1572739200000,0.057702,0.057887,0.049124,0.053207,293506.0000000000,LHD_BHD
69,1572825600000,0.053128,0.053307,0.048504,0.048899,220643.0000000000,LHD_BHD
70,1572912000000,0.048899,0.054873,0.0450000000,0.052352,443048.0000000000,LHD_BHD
71,1572998400000,0.052386,0.053860,0.036021,0.041355,643664.0000000000,LHD_BHD
72,1573084800000,0.041146,0.042900,0.036120,0.037301,547906.0000000000,LHD_BHD
73,1573171200000,0.037300,0.039990,0.031255,0.038221,484788.0000000000,LHD_BHD
74,1573257600000,0.038448,0.042896,0.0354180000,0.036536,494961.0000000000,LHD_BHD
75,1573344000000,0.036487,0.0428970000,0.035509,0.042353,468275.0000000000,LHD_BHD
76,1573430400000,0.042325,0.0428970000,0.0355000000,0.041618,511484.0000000000,LHD_BHD
77,1573516800000,0.041692,0.0425000000,0.035502,0.040115,621958.0000000000,LHD_BHD
78,1573603200000,0.040588,0.0480000000,0.038181,0.047999,526549.0000000000,LHD_BHD
79,1573689600000,0.047897,0.0480000000,0.040901,0.046131,390555.0000000000,LHD_BHD
80,1573776000000,0.045793,0.0478870000,0.042537,0.046608,478906.0000000000,LHD_BHD
81,1573862400000,0.046529,0.0480000000,0.0435210000,0.044770,638073.0000000000,LHD_BHD
82,1573948800000,0.045129,0.050451,0.044670,0.048573,279872.0000000000,LHD_BHD
83,1574035200000,0.048788,0.050196,0.045081,0.048754,328740.0000000000,LHD_BHD
84,1574121600000,0.048607,0.049887,0.0432010000,0.048515,356200.0000000000,LHD_BHD
85,1574208000000,0.049000,0.0506550000,0.0451710000,0.049064,409717.0000000000,LHD_BHD
86,1574294400000,0.048944,0.049367,0.047021,0.047214,512766.0000000000,LHD_BHD
87,1574380800000,0.047313,0.047481,0.044869,0.046242,524960.0000000000,LHD_BHD
88,1574467200000,0.046242,0.046408,0.043792,0.045225,417315.0000000000,LHD_BHD
89,1574553600000,0.045240,0.045737,0.021000,0.022820,141365.0000000000,LHD_BHD
90,1574640000000,0.022205,0.033979,0.022205,0.031683,40034.0000000000,LHD_BHD
