,timestamp,,open_price,highest_price,lowest_price,current_price,volume,market_name
0,1.55399E+12,2019/3/31,143.25,145.89,140.09,142.46,318461.9918,ETH_USDT
1,1.55408E+12,2019/4/1,141.17,142.65,140.33,141.38,224968.6801,ETH_USDT
2,1.55416E+12,2019/4/2,142.19,143.2,139.95,141.24,239866.7135,ETH_USDT
3,1.55425E+12,2019/4/3,152.09,165.5,151.88,163.32,297970.5545,ETH_USDT
4,1.55434E+12,2019/4/4,173.53,174.05,149.7,159.99,89132.47531,ETH_USDT
5,1.55442E+12,2019/4/5,160.44,161.75,152.78,157.33,264736.6316,ETH_USDT
6,1.55451E+12,2019/4/6,163.16,167.76,161.64,164.77,229035.309,ETH_USDT
7,1.5546E+12,2019/4/7,168.31,172.75,162.63,165.53,137983.6335,ETH_USDT
8,1.55468E+12,2019/4/8,168.25,175.43,164.63,174.16,342987.6483,ETH_USDT
9,1.55477E+12,2019/4/9,174.21,185.69,171.07,178.68,603548.6529,ETH_USDT
10,1.55485E+12,2019/4/10,177.14,177.35,174,174.67,170217.1433,ETH_USDT
11,1.55494E+12,2019/4/11,178.4,183.36,169.21,177.1,181104.4823,ETH_USDT
12,1.55503E+12,2019/4/12,176.93,177.39,158.71,164.07,219737.7905,ETH_USDT
13,1.55511E+12,2019/4/13,163.37,166.23,162.18,163.17,103811.8037,ETH_USDT
14,1.5552E+12,2019/4/14,163.15,165.3,161.03,163,168356.9871,ETH_USDT
15,1.55529E+12,2019/4/15,167.39,167.4,166.04,167.1,7256.65536,ETH_USDT
16,1.55537E+12,2019/4/16,156.42,161.44,155.93,159.88,87847.66599,ETH_USDT
17,1.55546E+12,2019/4/17,159.91,166.7,159.43,165.47,229069.7816,ETH_USDT
18,1.55555E+12,2019/4/18,164.19,166.68,163.85,165.75,194237.0639,ETH_USDT
19,1.55563E+12,2019/4/19,170.86,175.3,170.59,173.35,167440.4927,ETH_USDT
20,1.55572E+12,2019/4/20,171.75,173.31,170.86,172.64,166067.6571,ETH_USDT
21,1.5558E+12,2019/4/21,172.66,176.87,170.03,172.88,364661.5035,ETH_USDT
22,1.55589E+12,2019/4/22,167.5,169.32,166.15,168.59,161841.704,ETH_USDT
23,1.55598E+12,2019/4/23,170.57,172.09,167.61,170.52,219122.7685,ETH_USDT
24,1.55606E+12,2019/4/24,170.54,175.7,168.26,169.65,342656.9001,ETH_USDT
25,1.55615E+12,2019/4/25,167.79,169.91,159.27,164.91,395644.4046,ETH_USDT
26,1.55624E+12,2019/4/26,162.99,164.7,150.37,154.72,243526.7781,ETH_USDT
27,1.55632E+12,2019/4/27,154.75,162.14,151.4,157.97,536389.9376,ETH_USDT
28,1.55641E+12,2019/4/28,157.93,162.11,156.36,159.31,442085.8058,ETH_USDT
29,1.5565E+12,2019/4/29,159.76,160.23,157,157.85,172342.1905,ETH_USDT
30,1.55658E+12,2019/4/30,154.53,157.22,153.85,155.11,192339.1734,ETH_USDT
31,1.55667E+12,2019/5/1,158.68,162.78,157.71,161.87,150078.2001,ETH_USDT
32,1.55676E+12,2019/5/2,161.82,163.82,158.45,160.19,397171.946,ETH_USDT
33,1.55684E+12,2019/5/3,160.33,163.46,159.11,161.81,310610.2318,ETH_USDT
34,1.55693E+12,2019/5/4,165.79,170.44,165.33,168.01,278783.4955,ETH_USDT
35,1.55701E+12,2019/5/5,168.12,171.2,160.05,163.7,494822.9613,ETH_USDT
36,1.5571E+12,2019/5/6,162.81,165.34,159.33,163,415202.6581,ETH_USDT
37,1.55719E+12,2019/5/7,163,177.87,159.33,172.93,498975.8503,ETH_USDT
38,1.55727E+12,2019/5/8,177.41,179.77,168.24,169.12,382140.9437,ETH_USDT
39,1.55736E+12,2019/5/9,170.69,172.96,168.09,170.78,300351.0217,ETH_USDT
40,1.55745E+12,2019/5/10,170.91,173.73,166.73,170.9,447216.1079,ETH_USDT
41,1.55753E+12,2019/5/11,176.35,176.5,170.63,172.91,81613.02057,ETH_USDT
42,1.55762E+12,2019/5/12,173,204.88,172.94,190.51,698502.5761,ETH_USDT
43,1.55771E+12,2019/5/13,186.14,188.38,185.55,188.13,19741.52368,ETH_USDT
44,1.55779E+12,2019/5/14,188.01,206.76,185.44,195.67,663889.0515,ETH_USDT
45,1.55788E+12,2019/5/15,208.52,219.74,200.52,216.4,282377.0433,ETH_USDT
46,1.55796E+12,2019/5/16,225.98,250.18,224.98,248.22,238358.046,ETH_USDT
47,1.55805E+12,2019/5/17,247.96,278.98,242.33,264.61,367658.3943,ETH_USDT
48,1.55814E+12,2019/5/18,237.71,245,224.23,244.16,169874.2574,ETH_USDT
49,1.55822E+12,2019/5/19,244.4,247.96,230.4,233.63,254769.3472,ETH_USDT
50,1.55831E+12,2019/5/20,233.38,263.77,232.45,259.52,254772.5595,ETH_USDT
51,1.5584E+12,2019/5/21,259.26,259.26,238.16,250.42,254587.4733,ETH_USDT
52,1.55848E+12,2019/5/22,251.81,261.98,247.75,253.65,138537.5908,ETH_USDT
53,1.55857E+12,2019/5/23,253.06,259.89,239.86,243.64,221330.4258,ETH_USDT
54,1.55866E+12,2019/5/24,243.54,247.32,231.11,244.62,252908.5383,ETH_USDT
55,1.55874E+12,2019/5/25,244.6,254.73,241.64,248.83,216837.4231,ETH_USDT
56,1.55883E+12,2019/5/26,254.07,255.09,247.73,250.2,96216.89316,ETH_USDT
57,1.55892E+12,2019/5/27,250.17,270.01,244.44,267.75,218113.281,ETH_USDT
58,1.559E+12,2019/5/28,267.75,279.5,262.23,270.57,159394.5364,ETH_USDT
59,1.55909E+12,2019/5/29,270.51,275.85,264.9,271.3,178734.663,ETH_USDT
60,1.55917E+12,2019/5/30,266.36,274.12,265.5,269.97,111340.1082,ETH_USDT
61,1.55926E+12,2019/5/31,252.17,257.82,251.09,254.55,10309.83471,ETH_USDT
62,1.55935E+12,2019/6/1,253.33,268.63,245.45,267.74,199435.5813,ETH_USDT
63,1.55943E+12,2019/6/2,264.75,270.39,260.84,264.38,88132.42827,ETH_USDT
64,1.55952E+12,2019/6/3,263.83,274.02,262.83,268.96,159956.1647,ETH_USDT
65,1.55961E+12,2019/6/4,262.82,265.32,248.06,249.91,110348.8847,ETH_USDT
66,1.55969E+12,2019/6/5,250.01,252.87,233.82,241.34,237590.1339,ETH_USDT
67,1.55978E+12,2019/6/6,242.15,248.65,237.61,245.72,220105.9996,ETH_USDT
68,1.55987E+12,2019/6/7,244.94,251.01,235,248.64,187633.0905,ETH_USDT
69,1.55995E+12,2019/6/8,248,253.67,244.98,248.83,96616.77945,ETH_USDT
70,1.56004E+12,2019/6/9,248.83,250.52,240.88,243.28,163663.6644,ETH_USDT
71,1.56012E+12,2019/6/10,241.5,244.7,226.01,231,174163.0803,ETH_USDT
72,1.56021E+12,2019/6/11,230.6,247.77,227.16,246.84,238586.3084,ETH_USDT
73,1.5603E+12,2019/6/12,244.34,247.19,237.15,244.29,144547.3897,ETH_USDT
74,1.56038E+12,2019/6/13,244.39,261.8,242.24,261.62,210208.9931,ETH_USDT
75,1.56047E+12,2019/6/14,261.7,263.15,253.75,254.67,171270.4929,ETH_USDT
76,1.56056E+12,2019/6/15,255.74,264.26,251.57,262.43,162296.0818,ETH_USDT
77,1.56064E+12,2019/6/16,261.05,271.93,260.18,267.85,144605.3318,ETH_USDT
78,1.56073E+12,2019/6/17,269.03,276.95,263.38,267.83,204648.5983,ETH_USDT
79,1.56082E+12,2019/6/18,268.42,274.57,265.54,273.07,178453.4878,ETH_USDT
80,1.5609E+12,2019/6/19,274.43,274.43,261.24,264.66,215215.1492,ETH_USDT
81,1.56099E+12,2019/6/20,265.3,270.39,263.59,268.15,180284.6201,ETH_USDT
82,1.56108E+12,2019/6/21,268.27,273.84,265,271.29,164333.3968,ETH_USDT
83,1.56116E+12,2019/6/22,272.38,295.82,271.51,294.4,234339.4032,ETH_USDT
84,1.56125E+12,2019/6/23,293.64,315.11,290.25,310.67,225091.9086,ETH_USDT
85,1.56133E+12,2019/6/24,312.18,321.48,305.33,308.6,229115.2133,ETH_USDT
86,1.56142E+12,2019/6/25,310.41,314.13,298,311.72,160993.0768,ETH_USDT
87,1.56151E+12,2019/6/26,311.02,318.91,307.24,318.26,137204.509,ETH_USDT
88,1.56159E+12,2019/6/27,319.68,366.61,314.79,339.71,236621.2674,ETH_USDT
89,1.56168E+12,2019/6/28,338.89,346.8,280.27,297.9,226889.3304,ETH_USDT
90,1.56177E+12,2019/6/29,298.81,313.5,296.87,310.94,178236.3324,ETH_USDT
91,1.56185E+12,2019/6/30,310.65,324.61,295.29,318.19,202118.3735,ETH_USDT
92,1.56194E+12,2019/7/1,319.38,323.48,290.14,292.46,189669.2125,ETH_USDT
93,1.56203E+12,2019/7/2,293.26,303.29,280.14,295.09,197125.6592,ETH_USDT
94,1.56211E+12,2019/7/3,296.35,297.35,272.67,291.46,349962.9325,ETH_USDT
95,1.5622E+12,2019/7/4,289.86,302.8,289.17,301.14,260591.4335,ETH_USDT
96,1.56228E+12,2019/7/5,303.06,303.06,280.53,282.7,298227.25,ETH_USDT
97,1.56237E+12,2019/7/6,283.98,295.8,282.83,287.56,389634.8102,ETH_USDT
98,1.56246E+12,2019/7/7,285.71,297.03,285.41,288.29,433554.7451,ETH_USDT
99,1.56254E+12,2019/7/8,285.85,309.67,285.32,304.73,415116.5766,ETH_USDT
100,1.56263E+12,2019/7/9,306.38,314.19,301.04,312.03,454165.3193,ETH_USDT
101,1.56272E+12,2019/7/10,312.15,318.19,303.02,307.31,483568.39,ETH_USDT
