,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1583020800000,0.000014,0.0000146,0.0000129,0.000013,570710,1583107199999,8.0313499,75,62,,0,BCASBTC
1,1583107200000,0.000012,0.000012,0.00001199,0.00001199,386095,1583193599999,4.63244662,62,58,,0,BCASBTC
2,1583625600000,0.00001199,0.00001199,0.00001199,0.00001199,19510,1583711999999,0.2339249,2,1,,0,BCASBTC
3,1583971200000,0.000001,0.000001,1e-7,1e-7,5500,1584057599999,0.001,2,0,,0,BCASBTC
4,1584057600000,1e-7,1e-7,1e-7,1e-7,500,1584143999999,0.00005,1,1,,0,BCASBTC
5,1584403200000,0.000006,0.000006,1e-8,0.000006,203210,1584489599999,1.04350741,89,88,,0,BCASBTC
6,1586131200000,0.000005,0.000005,1e-8,0.00000498,29212,1586217599999,0.04206259,5,4,,0,BCASBTC
