,open_time,,open,high,low,close,,,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1.57861E+12,2020/1/10,0.00003,0.00003,0.00001545,0.00001545,8182.75,0.126423488,121,1.5787E+12,0.00233599,9,3,,0,BXCBTC
1,1.5787E+12,2020/1/11,0.00001188,0.000012,0.00000998,0.00000998,8023.48,0.08007433,209,1.57879E+12,0.00218062,4,1,,0,BXCBTC
2,1.57879E+12,2020/1/12,0.000012,0.000012,0.00000777,0.00000777,8181.4,0.063569478,574,1.57887E+12,0.00618026,6,2,,0,BXCBTC
3,1.57887E+12,2020/1/13,0.00000777,0.00000777,0.00000655,0.00000655,8115.54,0.053156787,97,1.57896E+12,0.00065731,5,0,,0,BXCBTC
4,1.57896E+12,2020/1/14,0.00000632,0.000009,0.00000439,0.000005,8751.44,0.0437572,713,1.57905E+12,0.0041769,25,3,,0,BXCBTC
5,1.57905E+12,2020/1/15,0.0000055,0.0000057,0.0000043,0.000005,8828.98,0.0441449,300,1.57913E+12,0.0015795,6,2,,0,BXCBTC
6,1.57913E+12,2020/1/16,0.00000601,0.0000082,0.000006,0.0000082,8735.04,0.071627328,126,1.57922E+12,0.00094941,5,2,,0,BXCBTC
7,1.57922E+12,2020/1/17,0.0000062,0.000012,0.0000062,0.000012,8916.99,0.10700388,552,1.57931E+12,0.00568415,19,14,,0,BXCBTC
8,1.57931E+12,2020/1/18,0.00001147,0.000014,0.00001147,0.00001221,8935.07,0.109097205,1135,1.57939E+12,0.0139799,11,2,,0,BXCBTC
9,1.57939E+12,2020/1/19,0.00001221,0.00001221,0.00001001,0.00001001,21447.03,0.21468477,622,1.57948E+12,0.00745214,9,1,,0,BXCBTC
10,1.57948E+12,2020/1/20,0.00001005,0.00001005,0.00001005,0.00001005,8639.31,0.086825066,346,1.57956E+12,0.0034773,8,0,,0,BXCBTC
11,1.57956E+12,2020/1/21,0.00001005,0.00001005,0.00000801,0.00000801,8747.93,0.070070919,579,1.57965E+12,0.00492859,10,0,,0,BXCBTC
12,1.57965E+12,2020/1/22,0.000008,0.000008,0.000007,0.000007,8676.45,0.06073515,3723,1.57974E+12,0.02656858,7,3,,0,BXCBTC
13,1.57974E+12,2020/1/23,0.00000799,0.00000799,0.00000799,0.00000799,8529.59,0.068151424,17,1.57982E+12,0.00013583,1,1,,0,BXCBTC
14,1.57982E+12,2020/1/24,0.00000799,0.00000799,0.000006,0.000006,8429.81,0.05057886,117,1.57991E+12,0.00074907,5,1,,0,BXCBTC
15,1.57991E+12,2020/1/25,0.00000615,0.00000615,0.00000615,0.00000615,8352.38,0.051367137,77,1.58E+12,0.00047355,1,0,,0,BXCBTC
16,1.58E+12,2020/1/26,0.0000062,0.0000062,0.0000062,0.0000062,8610.8,0.05338696,35,1.58008E+12,0.000217,1,0,,0,BXCBTC
17,1.58008E+12,2020/1/27,0.00000601,0.0000079,0.0000052,0.00000773,8909,0.06886657,2335,1.58017E+12,0.01542165,170,83,,0,BXCBTC
18,1.58017E+12,2020/1/28,0.00000762,0.000016,0.00000653,0.00001225,9121.65,0.111740213,79332,1.58026E+12,0.85757074,8622,4344,,0,BXCBTC
19,1.58026E+12,2020/1/29,0.00001241,0.00001512,0.00001023,0.00001296,9302.44,0.120559622,78388,1.58034E+12,0.96983297,8857,4423,,0,BXCBTC
20,1.58034E+12,2020/1/30,0.00001298,0.00001509,0.00000958,0.00001234,9298.05,0.114737937,83352,1.58043E+12,0.97588519,8923,4453,,0,BXCBTC
21,1.58043E+12,2020/1/31,0.00001251,0.00001374,0.00000958,0.00001296,9340.56,0.121053658,77050,1.58052E+12,0.87427357,8354,4211,,0,BXCBTC
22,1.58052E+12,2020/2/1,0.00001309,0.00001374,0.00000958,0.00001099,9389.57,0.103191374,82563,1.5806E+12,0.95223546,8981,4503,,0,BXCBTC
23,1.5806E+12,2020/2/2,0.00001084,0.00001229,0.0000096,0.00001008,9336.81,0.094115045,77206,1.58069E+12,0.81929316,8823,4417,,0,BXCBTC
24,1.58069E+12,2020/2/3,0.00000993,0.00001124,0.00000958,0.00001057,9304.91,0.098352899,80894,1.58077E+12,0.86143296,8871,4462,,0,BXCBTC
25,1.58077E+12,2020/2/4,0.00001077,0.00001106,0.00000958,0.00001022,8977.32,0.09174821,86828,1.58086E+12,0.88998527,9642,4796,,0,BXCBTC
26,1.58086E+12,2020/2/5,0.00001006,0.00001089,0.00000961,0.00001051,9606.34,0.100962633,83440,1.58095E+12,0.86927338,9496,4727,,0,BXCBTC
27,1.58095E+12,2020/2/6,0.00001016,0.00001224,0.00000958,0.000011,9540.3,0.1049433,86238.27941,1.58103E+12,0.99794552,9589,4686,,0,BXCBTC
28,1.58103E+12,2020/2/7,0.00001145,0.00001222,0.0000102,0.00001172,9826.8,0.115170096,80860,1.58112E+12,0.91715969,9110,4612,,0,BXCBTC
29,1.58112E+12,2020/2/8,0.0000117,0.00001198,0.000007,0.0000105,9892.74,0.10387377,92285,1.58121E+12,0.94840996,9481,4684,,0,BXCBTC
30,1.58121E+12,2020/2/9,0.00001078,0.00001147,0.00000703,0.0000109,10150.12,0.110636308,83193,1.58129E+12,0.83562928,9456,4659,,0,BXCBTC
31,1.58129E+12,2020/2/10,0.00001093,0.00001103,0.0000072,0.00000762,9583.9,0.073029318,82848,1.58138E+12,0.7596865,9121,4500,,0,BXCBTC
32,1.58138E+12,2020/2/11,0.00000762,0.00002,0.00000729,0.00001752,10234.7,0.179311944,83517.53183,1.58147E+12,1.09391445,9197,4613,,0,BXCBTC
33,1.58147E+12,2020/2/12,0.00001745,0.00005183,0.000013,0.00002681,10334.09,0.277056953,92279.46817,1.58155E+12,2.08798873,9171,4618,,0,BXCBTC
34,1.58155E+12,2020/2/13,0.00003011,0.000035,0.000013,0.00001659,10230.12,0.169717691,81499.95714,1.58164E+12,1.56877566,8840,4456,,0,BXCBTC
35,1.58164E+12,2020/2/14,0.00001622,0.000029,0.000013,0.00001436,10348.72,0.148607619,78429.30724,1.58172E+12,1.43970339,8815,4377,,0,BXCBTC
