,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1574467200000,0.005,0.7191,0.005,0.7191,928,1574553599999,561.9973,261,261,,0,CVAETH
1,1574553600000,0.7191,0.747,0.6191,0.747,563,1574639999999,410.910542,136,136,,0,CVAETH
2,1574640000000,0.747,0.781,0.747,0.781,366,1574726399999,276.15135,95,95,,0,CVAETH
3,1574726400000,0.781,0.784,0.781,0.784,109,1574812799999,85.29,31,31,,0,CVAETH
4,1574812800000,0.784,0.8059,0.784,0.8059,411.566,1574899199999,328.44564541,92,92,,0,CVAETH
5,1574899200000,0.8059,0.812,0.8059,0.812,455.434,1574985599999,369.2880606,102,102,,0,CVAETH
6,1574985600000,0.8129,0.8129911,0.8129,0.8129911,345.594,1575071999999,280.9538438,78,78,,0,CVAETH
7,1575072000000,0.812299,0.8129911,0.812299,0.8129911,218.108,1575158399999,177.18144284,49,49,,0,CVAETH
8,1575158400000,0.8129911,0.81299112,0.8129911,0.81299112,230.877,1575244799999,187.70094748,54,54,,0,CVAETH
9,1575244800000,0.81299112,0.813219,0.81299112,0.813219,214.077,1575331199999,174.06153441,49,49,,0,CVAETH
10,1575331200000,0.813219,0.813219,0.813219,0.813219,90.408,1575417599999,73.52150336,20,20,,0,CVAETH
11,1575417600000,0.813219,0.83,0.813219,0.83,195.936,1575503999999,159.40664207,54,54,,0,CVAETH
12,1575504000000,0.83,0.831,0.83,0.83,189.76900046,1575590399999,157.50827038,46,46,,0,CVAETH
13,1575590400000,8e-7,0.832,8e-7,8e-7,211.38500004,1575676799999,175.52741006,54,52,,0,CVAETH
14,1575676800000,0.832,0.832,0.83199,0.83199,28.47,1575763199999,23.6868,8,8,,0,CVAETH
15,1575763200000,0.83199,0.877,0.83199,0.867,109.638,1575849599999,92.008811,28,28,,0,CVAETH
16,1575849600000,0.867,0.877,0.867,0.877,134.636,1575935999999,117.915772,32,32,,0,CVAETH
17,1575936000000,0.877,0.877,0.877,0.877,83.712,1576022399999,73.415424,21,21,,0,CVAETH
18,1576022400000,0.877,0.877,0.877,0.877,91.944,1576108799999,80.634888,22,22,,0,CVAETH
19,1576108800000,0.68718,0.68718,0.68718,0.68718,53.758,1576195199999,36.94142244,11,11,,0,CVAETH
20,1576195200000,0.479,0.479,0.479,0.479,203.498,1576281599999,97.475542,29,29,,0,CVAETH
21,1576281600000,0.343,0.343,0.343,0.343,43.224,1576367999999,14.825832,4,4,,0,CVAETH
