,open_time,,open,high,low,close,,,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1.58302E+12,2020/3/1,0.000014,0.0000146,0.0000129,0.000013,8545.43,0.11109059,570710,1.58311E+12,8.0313499,75,62,,0,BCASBTC
1,1.58311E+12,2020/3/2,0.000012,0.000012,0.00001199,0.00001199,8929.9,0.107069501,386095,1.58319E+12,4.63244662,62,58,,0,BCASBTC
2,1.58363E+12,2020/3/8,0.00001199,0.00001199,0.00001199,0.00001199,8280.16,0.099279118,19510,1.58371E+12,0.2339249,2,1,,0,BCASBTC
3,1.58397E+12,2020/3/12,0.000001,0.000001,1.00E-07,1.00E-07,4674.16,0.000467416,5500,1.58406E+12,0.001,2,0,,0,BCASBTC
4,1.58406E+12,2020/3/13,1.00E-07,1.00E-07,1.00E-07,1.00E-07,5509.06,0.000550906,500,1.58414E+12,0.00005,1,1,,0,BCASBTC
5,1.5844E+12,2020/3/17,0.000006,0.000006,1.00E-08,0.000006,5388.39,0.03233034,203210,1.58449E+12,1.04350741,89,88,,0,BCASBTC
6,1.58613E+12,2020/4/6,0.000005,0.000005,1.00E-08,0.00000498,7263.86,0.036174023,29212,1.58622E+12,0.04206259,5,4,,0,BCASBTC
