,open_time,,open,high,low,close,,,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1.57006E+12,2019/10/3,2.10E-07,9.90E-07,2.10E-07,8.30E-07," 8,223.95 ", 0.00683 ,569259,1.57015E+12,0.45378529,6877,3491,,0,FDTBTC
1,1.57015E+12,2019/10/4,8.30E-07,9.90E-07,2.20E-07,6.00E-07," 8,151.54 ", 0.00489 ,958062,1.57023E+12,0.6373885,11860,5934,,0,FDTBTC
2,1.57023E+12,2019/10/5,6.00E-07,9.90E-07,2.20E-07,8.80E-07," 8,118.12 ", 0.00714 ,951849,1.57032E+12,0.70819718,11718,5808,,0,FDTBTC
3,1.57032E+12,2019/10/6,8.80E-07,9.90E-07,2.20E-07,2.50E-07," 8,000.11 ", 0.00200 ,890578,1.57041E+12,0.65700148,11386,5665,,0,FDTBTC
4,1.57041E+12,2019/10/7,2.40E-07,9.90E-07,2.20E-07,7.40E-07," 8,194.07 ", 0.00606 ,899885,1.57049E+12,0.70071173,11115,5475,,0,FDTBTC
5,1.57049E+12,2019/10/8,7.60E-07,9.90E-07,2.90E-07,5.90E-07," 8,191.45 ", 0.00483 ,833192,1.57058E+12,0.60722309,10577,5216,,0,FDTBTC
6,1.57058E+12,2019/10/9,5.90E-07,9.90E-07,2.80E-07,5.50E-07," 8,577.12 ", 0.00472 ,653445,1.57067E+12,0.49035314,8234,4106,,0,FDTBTC
7,1.57067E+12,2019/10/10,5.50E-07,9.90E-07,2.80E-07,7.20E-07," 8,555.37 ", 0.00616 ,795753,1.57075E+12,0.59546823,10110,5039,,0,FDTBTC
8,1.57075E+12,2019/10/11,7.20E-07,9.90E-07,2.90E-07,8.40E-07," 8,266.00 ", 0.00694 ,903133,1.57084E+12,0.62534047,11141,5547,,0,FDTBTC
9,1.57084E+12,2019/10/12,8.40E-07,9.90E-07,3.20E-07,8.30E-07," 8,294.37 ", 0.00688 ,915561,1.57092E+12,0.67754642,11493,5752,,0,FDTBTC
10,1.57092E+12,2019/10/13,8.30E-07,9.90E-07,2.90E-07,6.40E-07," 8,278.59 ", 0.00530 ,934556,1.57101E+12,0.70581632,11553,5868,,0,FDTBTC
11,1.57101E+12,2019/10/14,6.50E-07,9.90E-07,2.90E-07,5.10E-07," 8,346.10 ", 0.00426 ,882853,1.5711E+12,0.67213242,10937,5395,,0,FDTBTC
12,1.5711E+12,2019/10/15,5.40E-07,9.90E-07,2.90E-07,5.10E-07," 8,171.29 ", 0.00417 ,856038,1.57118E+12,0.61322708,10636,5363,,0,FDTBTC
13,1.57118E+12,2019/10/16,5.10E-07,9.90E-07,2.90E-07,9.80E-07," 7,983.66 ", 0.00782 ,858776,1.57127E+12,0.5943855,10630,5278,,0,FDTBTC
14,1.57127E+12,2019/10/17,9.80E-07,9.90E-07,3.30E-07,6.90E-07," 8,070.80 ", 0.00557 ,850658,1.57136E+12,0.65426267,10563,5265,,0,FDTBTC
15,1.57136E+12,2019/10/18,6.60E-07,9.90E-07,2.90E-07,6.20E-07," 7,946.73 ", 0.00493 ,828484,1.57144E+12,0.56237213,10210,5155,,0,FDTBTC
16,1.57144E+12,2019/10/19,6.40E-07,9.90E-07,2.90E-07,9.40E-07," 7,944.09 ", 0.00747 ,834532,1.57153E+12,0.63329041,10278,5140,,0,FDTBTC
17,1.57153E+12,2019/10/20,9.40E-07,9.90E-07,2.90E-07,9.40E-07," 8,209.20 ", 0.00772 ,822946,1.57162E+12,0.5437094,10274,5124,,0,FDTBTC
18,1.57162E+12,2019/10/21,9.60E-07,9.90E-07,2.90E-07,7.40E-07," 8,188.84 ", 0.00606 ,816918,1.5717E+12,0.58314407,10475,5293,,0,FDTBTC
19,1.5717E+12,2019/10/22,7.40E-07,9.90E-07,2.90E-07,5.50E-07," 8,030.97 ", 0.00442 ,850801,1.57179E+12,0.63743015,10356,5276,,0,FDTBTC
20,1.57179E+12,2019/10/23,5.40E-07,9.90E-07,2.90E-07,8.30E-07," 7,456.76 ", 0.00619 ,797241,1.57188E+12,0.54385414,9898,5031,,0,FDTBTC
21,1.57188E+12,2019/10/24,8.30E-07,0.000002,2.90E-07,8.30E-07," 7,430.83 ", 0.00617 ,810194,1.57196E+12,0.62248745,9999,5065,,0,FDTBTC
22,1.57196E+12,2019/10/25,8.70E-07,0.00000199,3.70E-07,0.00000183," 8,626.25 ", 0.01579 ,740870,1.57205E+12,0.79094196,9334,4779,,0,FDTBTC
23,1.57205E+12,2019/10/26,0.00000177,0.00000199,4.00E-07,0.00000172," 9,177.60 ", 0.01579 ,751651,1.57213E+12,1.0793115,9315,4672,,0,FDTBTC
24,1.57213E+12,2019/10/27,0.00000175,0.00000199,3.70E-07,0.00000169," 9,552.39 ", 0.01614 ,762423,1.57222E+12,1.04359537,9535,4843,,0,FDTBTC
