,open_time,,open,high,low,close,,,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1.57006E+12,2019/10/3,2.20E-07,9.80E-07,2.10E-07,9.80E-07," 8,223.95 ", 0.00806 ,567139,1.57015E+12,0.32614054,6941,3466,,0,BZOBTC
1,1.57015E+12,2019/10/4,9.70E-07,9.90E-07,1.80E-07,7.40E-07," 8,151.54 ", 0.00603 ,964430,1.57023E+12,0.62557784,12252,6237,,0,BZOBTC
2,1.57023E+12,2019/10/5,7.40E-07,9.90E-07,1.80E-07,9.40E-07," 8,118.12 ", 0.00763 ,989784,1.57032E+12,0.67893617,12115,6018,,0,BZOBTC
3,1.57032E+12,2019/10/6,9.10E-07,9.90E-07,2.30E-07,9.20E-07," 8,000.11 ", 0.00736 ,937954,1.57041E+12,0.73166284,11825,5852,,0,BZOBTC
4,1.57041E+12,2019/10/7,9.20E-07,9.90E-07,1.80E-07,7.70E-07," 8,194.07 ", 0.00631 ,899883,1.57049E+12,0.52489598,11412,5689,,0,BZOBTC
5,1.57049E+12,2019/10/8,7.50E-07,9.90E-07,2.10E-07,8.00E-07," 8,191.45 ", 0.00655 ,882677,1.57058E+12,0.6449845,10912,5472,,0,BZOBTC
6,1.57058E+12,2019/10/9,8.00E-07,9.90E-07,2.00E-07,2.00E-07," 8,577.12 ", 0.00172 ,683490,1.57067E+12,0.48551068,8458,4237,,0,BZOBTC
7,1.57067E+12,2019/10/10,2.00E-07,9.90E-07,2.00E-07,7.50E-07," 8,555.37 ", 0.00642 ,826825,1.57075E+12,0.59881977,10359,5217,,0,BZOBTC
8,1.57075E+12,2019/10/11,7.50E-07,9.90E-07,2.00E-07,6.70E-07," 8,266.00 ", 0.00554 ,905145,1.57084E+12,0.64659631,11498,5781,,0,BZOBTC
9,1.57084E+12,2019/10/12,6.80E-07,9.90E-07,2.30E-07,8.80E-07," 8,294.37 ", 0.00730 ,941041,1.57092E+12,0.65979853,11858,5903,,0,BZOBTC
10,1.57092E+12,2019/10/13,8.80E-07,9.90E-07,2.00E-07,9.60E-07," 8,278.59 ", 0.00795 ,968507,1.57101E+12,0.62543237,11852,5922,,0,BZOBTC
11,1.57101E+12,2019/10/14,9.60E-07,9.90E-07,2.10E-07,4.40E-07," 8,346.10 ", 0.00367 ,890291,1.5711E+12,0.64373284,11229,5591,,0,BZOBTC
12,1.5711E+12,2019/10/15,4.40E-07,9.90E-07,2.20E-07,3.10E-07," 8,171.29 ", 0.00253 ,865207,1.57118E+12,0.67617112,10927,5473,,0,BZOBTC
13,1.57118E+12,2019/10/16,2.80E-07,9.90E-07,2.00E-07,6.50E-07," 7,983.66 ", 0.00519 ,881462,1.57127E+12,0.62336028,10860,5488,,0,BZOBTC
14,1.57127E+12,2019/10/17,6.20E-07,9.90E-07,2.00E-07,6.80E-07," 8,070.80 ", 0.00549 ,850400,1.57136E+12,0.62636841,10770,5321,,0,BZOBTC
15,1.57136E+12,2019/10/18,6.80E-07,9.90E-07,2.00E-07,7.00E-07," 7,946.73 ", 0.00556 ,840446,1.57144E+12,0.56691401,10411,5184,,0,BZOBTC
16,1.57144E+12,2019/10/19,6.60E-07,9.90E-07,2.20E-07,9.60E-07," 7,944.09 ", 0.00763 ,844856,1.57153E+12,0.62829137,10553,5285,,0,BZOBTC
17,1.57153E+12,2019/10/20,9.60E-07,9.90E-07,2.00E-07,5.40E-07," 8,209.20 ", 0.00443 ,835024,1.57162E+12,0.6147609,10420,5262,,0,BZOBTC
18,1.57162E+12,2019/10/21,4.90E-07,9.90E-07,2.00E-07,7.90E-07," 8,188.84 ", 0.00647 ,877875,1.5717E+12,0.62566456,10904,5502,,0,BZOBTC
19,1.5717E+12,2019/10/22,7.60E-07,9.90E-07,2.00E-07,7.90E-07," 8,030.97 ", 0.00634 ,844705,1.57179E+12,0.60690293,10596,5240,,0,BZOBTC
20,1.57179E+12,2019/10/23,7.40E-07,9.90E-07,2.10E-07,6.10E-07," 7,456.76 ", 0.00455 ,817699,1.57188E+12,0.52178547,10246,5112,,0,BZOBTC
21,1.57188E+12,2019/10/24,6.10E-07,9.90E-07,2.00E-07,8.50E-07," 7,430.83 ", 0.00632 ,806931,1.57196E+12,0.51755043,10218,5201,,0,BZOBTC
22,1.57196E+12,2019/10/25,8.70E-07,9.90E-07,3.20E-07,6.90E-07," 8,626.25 ", 0.00595 ,750770,1.57205E+12,0.56707725,9517,4794,,0,BZOBTC
23,1.57205E+12,2019/10/26,6.90E-07,9.90E-07,2.60E-07,8.40E-07," 9,177.60 ", 0.00771 ,769396,1.57213E+12,0.57024349,9504,4718,,0,BZOBTC
24,1.57213E+12,2019/10/27,8.40E-07,9.90E-07,2.00E-07,6.40E-07," 9,552.39 ", 0.00611 ,760556,1.57222E+12,0.5368429,9669,4773,,0,BZOBTC
25,1.57222E+12,2019/10/28,6.80E-07,9.90E-07,4.10E-07,9.50E-07," 9,446.89 ", 0.00897 ,690160,1.57231E+12,0.56781538,8641,4328,,0,BZOBTC
26,1.57231E+12,2019/10/29,9.50E-07,9.90E-07,2.00E-07,6.80E-07," 9,408.71 ", 0.00640 ,755187,1.57239E+12,0.6181892,9508,4774,,0,BZOBTC
27,1.57239E+12,2019/10/30,7.00E-07,9.90E-07,3.00E-07,8.10E-07," 9,161.77 ", 0.00742 ,268764,1.57248E+12,0.19184161,3368,1690,,0,BZOBTC
28,1.57248E+12,2019/10/31,8.30E-07,9.90E-07,2.40E-07,5.10E-07," 9,149.05 ", 0.00467 ,529294,1.57257E+12,0.40551151,6666,3308,,0,BZOBTC
29,1.57257E+12,2019/11/1,5.10E-07,9.90E-07,2.10E-07,3.00E-07," 9,222.03 ", 0.00277 ,858848,1.57265E+12,0.58825053,10766,5376,,0,BZOBTC
30,1.57265E+12,2019/11/2,2.80E-07,9.90E-07,2.00E-07,6.00E-07," 9,286.63 ", 0.00557 ,815136,1.57274E+12,0.56416837,9985,4918,,0,BZOBTC
31,1.57274E+12,2019/11/3,5.80E-07,9.90E-07,2.00E-07,9.30E-07," 9,206.81 ", 0.00856 ,859443,1.57283E+12,0.63576234,11098,5581,,0,BZOBTC
32,1.57283E+12,2019/11/4,9.30E-07,9.90E-07,2.10E-07,9.10E-07," 9,291.21 ", 0.00846 ,935875,1.57291E+12,0.71010663,11639,5842,,0,BZOBTC
33,1.57291E+12,2019/11/5,9.20E-07,9.90E-07,3.20E-07,7.80E-07," 9,299.98 ", 0.00725 ,895461,1.573E+12,0.64112299,11365,5739,,0,BZOBTC
34,1.573E+12,2019/11/6,7.80E-07,9.90E-07,3.20E-07,9.70E-07," 9,350.49 ", 0.00907 ,842411,1.57308E+12,0.6842891,10279,5123,,0,BZOBTC
35,1.57308E+12,2019/11/7,9.70E-07,9.90E-07,3.20E-07,9.40E-07," 9,220.24 ", 0.00867 ,850142,1.57317E+12,0.61102885,10572,5266,,0,BZOBTC
36,1.57317E+12,2019/11/8,9.40E-07,9.90E-07,3.20E-07,7.80E-07," 8,786.15 ", 0.00685 ,864421,1.57326E+12,0.58684111,10856,5474,,0,BZOBTC
37,1.57326E+12,2019/11/9,7.80E-07,9.90E-07,3.30E-07,4.40E-07," 8,800.21 ", 0.00387 ,898889,1.57334E+12,0.69829143,11252,5595,,0,BZOBTC
38,1.57334E+12,2019/11/10,4.70E-07,9.90E-07,3.20E-07,7.90E-07," 9,038.50 ", 0.00714 ,923611,1.57343E+12,0.624503,11320,5619,,0,BZOBTC
39,1.57343E+12,2019/11/11,7.90E-07,9.90E-07,3.40E-07,7.90E-07," 8,726.50 ", 0.00689 ,894440,1.57352E+12,0.69847462,11048,5483,,0,BZOBTC
40,1.57352E+12,2019/11/12,7.90E-07,9.90E-07,3.20E-07,9.30E-07," 8,801.40 ", 0.00819 ,859437,1.5736E+12,0.62607715,10797,5374,,0,BZOBTC
41,1.5736E+12,2019/11/13,9.00E-07,9.90E-07,4.20E-07,7.90E-07," 8,785.73 ", 0.00694 ,423189,1.57369E+12,0.35646232,5401,2676,,0,BZOBTC
42,1.57369E+12,2019/11/14,7.90E-07,9.90E-07,3.20E-07,8.20E-07," 8,647.51 ", 0.00709 ,688714,1.57378E+12,0.54752434,8650,4391,,0,BZOBTC
43,1.57378E+12,2019/11/15,8.10E-07,9.90E-07,2.10E-07,9.30E-07," 8,469.34 ", 0.00788 ,881858,1.57386E+12,0.66625567,10985,5467,,0,BZOBTC
