,time,,open,close,high,low,volume,market_name
0,1.56332E+12,2019/7/17,6.00E-06,5.11E-06,6.89E-06,4.30E-06,11795197.62,UOSBTC
1,1.56341E+12,2019/7/18,5.11E-06,3.71E-06,5.30E-06,3.50E-06,2730751.321,UOSBTC
2,1.56349E+12,2019/7/19,3.71E-06,3.56E-06,4.19E-06,3.03E-06,1386128.242,UOSBTC
3,1.56358E+12,2019/7/20,3.57E-06,3.60E-06,3.70E-06,3.08E-06,413543.2656,UOSBTC
4,1.56367E+12,2019/7/21,3.30E-06,3.15E-06,3.64E-06,3.09E-06,816658.689,UOSBTC
5,1.56375E+12,2019/7/22,3.09E-06,3.10E-06,3.19E-06,2.50E-06,1871755.407,UOSBTC
6,1.56384E+12,2019/7/23,2.85E-06,3.13E-06,3.20E-06,2.62E-06,893193.9923,UOSBTC
7,1.56393E+12,2019/7/24,2.86E-06,2.92E-06,3.11E-06,2.86E-06,147142.5913,UOSBTC
8,1.56401E+12,2019/7/25,2.92E-06,2.82E-06,3.05E-06,2.75E-06,170891.2298,UOSBTC
9,1.5641E+12,2019/7/26,2.85E-06,2.79E-06,3.01E-06,2.77E-06,176831.0119,UOSBTC
10,1.56419E+12,2019/7/27,2.79E-06,2.90E-06,2.99E-06,2.67E-06,298044.8001,UOSBTC
11,1.56427E+12,2019/7/28,2.90E-06,3.27E-06,3.50E-06,2.81E-06,557713.7507,UOSBTC
12,1.56436E+12,2019/7/29,3.47E-06,4.25E-06,4.63E-06,3.47E-06,1545629.974,UOSBTC
13,1.56444E+12,2019/7/30,4.19E-06,4.31E-06,4.58E-06,4.16E-06,1137968.36,UOSBTC
14,1.56453E+12,2019/7/31,4.41E-06,3.87E-06,4.49E-06,3.80E-06,760741.012,UOSBTC
15,1.56462E+12,2019/8/1,4.02E-06,3.81E-06,4.70E-06,3.67E-06,919183.7361,UOSBTC
16,1.5647E+12,2019/8/2,4.20E-06,3.99E-06,4.45E-06,3.92E-06,508870.4652,UOSBTC
17,1.56479E+12,2019/8/3,3.99E-06,3.75E-06,4.23E-06,3.50E-06,501062.3817,UOSBTC
18,1.56488E+12,2019/8/4,3.61E-06,3.78E-06,3.78E-06,3.42E-06,166877.7715,UOSBTC
