,time,,open,close,high,low,volume,market_name,
0,1.56332E+12,2019/7/17,0.055,0.049,0.073,0.03,12428759.7,UOSUSD,7.384245093
1,1.56341E+12,2019/7/18,0.049711,0.039073,0.0525,0.036273,4503256.334,UOSUSD,6.859378964
2,1.56349E+12,2019/7/19,0.039999,0.038,0.04302,0.033,1632629.066,UOSUSD,6.479828199
3,1.56358E+12,2019/7/20,0.038001,0.039,0.04,0.0331,614014.4306,UOSUSD,6.011806216
4,1.56367E+12,2019/7/21,0.038308,0.0346,0.0393,0.033,578966.8046,UOSUSD,6.144768894
5,1.56375E+12,2019/7/22,0.034001,0.0278,0.034001,0.026,1157564.374,UOSUSD,6.481345121
6,1.56384E+12,2019/7/23,0.028543,0.028598,0.0319,0.026,593214.4861,UOSUSD,6.172138174
7,1.56393E+12,2019/7/24,0.028605,0.029552,0.029552,0.0252,191012.2643,UOSUSD,5.529115628
8,1.56401E+12,2019/7/25,0.027468,0.029,0.031009,0.027468,115648.4292,UOSUSD,5.45718474
9,1.5641E+12,2019/7/26,0.029699,0.0275,0.030257,0.02725,57758.11952,UOSUSD,5.370307887
10,1.56419E+12,2019/7/27,0.027589,0.0272,0.029535,0.0272,75512.59581,UOSUSD,5.572357339
11,1.56427E+12,2019/7/28,0.027,0.031302,0.031302,0.026,196336.4348,UOSUSD,5.877400251
12,1.56436E+12,2019/7/29,0.031302,0.04,0.041,0.031302,501581.4071,UOSUSD,6.311162687
13,1.56444E+12,2019/7/30,0.039981,0.043188,0.043188,0.038989,364684.797,UOSUSD,6.176858748
14,1.56453E+12,2019/7/31,0.041698,0.040129,0.04319,0.035802,256705.6354,UOSUSD,6.007511645
15,1.56462E+12,2019/8/1,0.040163,0.03991,0.0425,0.037,282393.3355,UOSUSD,6.079751633
16,1.5647E+12,2019/8/2,0.042499,0.0432,0.0432,0.041,113794.8179,UOSUSD,5.794254652
17,1.56479E+12,2019/8/3,0.043105,0.0392,0.0432,0.0392,287370.6048,UOSUSD,5.896764786
18,1.56488E+12,2019/8/4,0.039999,0.039877,0.04,0.03705,52793.12507,UOSUSD,5.341772523
19,1.56496E+12,2019/8/5,0.039877,0.037,0.039999,0.03601,160579.3919,UOSUSD,5.501922372
20,1.56505E+12,2019/8/6,0.036128,0.0337,0.036128,0.0328,161998.333,UOSUSD,5.654503655
21,1.56514E+12,2019/8/7,0.033532,0.0337,0.0337,0.0318,111891.8301,UOSUSD,5.40910531
22,1.56522E+12,2019/8/8,0.03225,0.031018,0.036014,0.03,356155.5982,UOSUSD,5.864934697
23,1.56531E+12,2019/8/9,0.031016,0.0317,0.032206,0.0295,193054.5605,UOSUSD,5.540252823
24,1.5654E+12,2019/8/10,0.0316,0.030811,0.0316,0.0302,91391.95687,UOSUSD,5.287093023
25,1.56548E+12,2019/8/11,0.030881,0.02998,0.032242,0.029,95854.78198,UOSUSD,5.287910541
26,1.56557E+12,2019/8/12,0.030181,0.0297,0.030181,0.0283,152434.5265,UOSUSD,5.486299954
27,1.56565E+12,2019/8/13,0.029666,0.029612,0.031962,0.0283,212941.4975,UOSUSD,5.716783447
28,1.56574E+12,2019/8/14,0.029612,0.029,0.029882,0.027,220027.8922,UOSUSD,5.693247168
29,1.56583E+12,2019/8/15,0.0288,0.0275,0.0288,0.024988,203053.2296,UOSUSD,5.620210496
30,1.56591E+12,2019/8/16,0.02659,0.025902,0.0268,0.025,186462.2405,UOSUSD,5.639070743
31,1.566E+12,2019/8/17,0.0257,0.024025,0.0268,0.022,362903.9596,UOSUSD,5.703055038
32,1.56609E+12,2019/8/18,0.023825,0.02437,0.0255,0.023808,449375.6532,UOSUSD,5.831781635
33,1.56617E+12,2019/8/19,0.02437,0.024113,0.02565,0.022,379019.9161,UOSUSD,6.002742973
34,1.56626E+12,2019/8/20,0.024113,0.02243,0.024113,0.022201,203263.5382,UOSUSD,5.415061201
35,1.56635E+12,2019/8/21,0.022414,0.022201,0.023997,0.022,321073.4805,UOSUSD,5.876650556
36,1.56643E+12,2019/8/22,0.022,0.02225,0.023938,0.022,154907.1514,UOSUSD,5.278843826
37,1.56652E+12,2019/8/23,0.022919,0.0238,0.0239,0.022001,54693.15023,UOSUSD,5.001106231
38,1.5666E+12,2019/8/24,0.0238,0.022026,0.025,0.022026,54843.95748,UOSUSD,5.333690548
39,1.56669E+12,2019/8/25,0.02475,0.02423,0.02475,0.021914,57069.85043,UOSUSD,4.950570872
40,1.56678E+12,2019/8/26,0.024101,0.024997,0.024997,0.022001,52031.56659,UOSUSD,5.146758308
41,1.56686E+12,2019/8/27,0.023634,0.0236,0.0242,0.0227,106333.0225,UOSUSD,5.293586525
42,1.56695E+12,2019/8/28,0.024198,0.023,0.0249,0.020506,380894.8532,UOSUSD,5.740855586
43,1.56704E+12,2019/8/29,0.022801,0.023062,0.0245,0.020507,332663.8342,UOSUSD,5.629695455
44,1.56712E+12,2019/8/30,0.0227,0.02284,0.025561,0.021,380157.3124,UOSUSD,5.696897351
45,1.56721E+12,2019/8/31,0.022551,0.0225,0.023665,0.0225,37350.15172,UOSUSD,4.883993499
46,1.5673E+12,2019/9/1,0.022501,0.022,0.022501,0.0201,413998.0718,UOSUSD,5.822634791
47,1.56738E+12,2019/9/2,0.0218,0.0222,0.0222,0.020155,108870.8936,UOSUSD,5.54328432
48,1.56747E+12,2019/9/3,0.0222,0.032461,0.032461,0.0222,698069.7198,UOSUSD,6.123894012
49,1.56756E+12,2019/9/4,0.03308,0.029657,0.03584,0.027,145013.9064,UOSUSD,5.830453788
50,1.56764E+12,2019/9/5,0.030039,0.031377,0.032119,0.028,88921.74641,UOSUSD,5.584005946
51,1.56773E+12,2019/9/6,0.031058,0.031084,0.034867,0.030113,176990.9283,UOSUSD,6.007357566
52,1.56781E+12,2019/9/7,0.031285,0.0301,0.031355,0.0301,62944.14357,UOSUSD,5.216240735
53,1.5679E+12,2019/9/8,0.030301,0.030141,0.0333,0.029318,475441.189,UOSUSD,5.767818495
54,1.56799E+12,2019/9/9,0.030146,0.031125,0.032742,0.02951,507576.011,UOSUSD,5.846790329
55,1.56807E+12,2019/9/10,0.031117,0.030207,0.032097,0.02869,298965.495,UOSUSD,5.618385077
56,1.56816E+12,2019/9/11,0.030209,0.029869,0.030417,0.0288,771951.3243,UOSUSD,6.037817164
57,1.56825E+12,2019/9/12,0.029869,0.033135,0.033884,0.02887,839357.6279,UOSUSD,6.03644621
58,1.56833E+12,2019/9/13,0.033151,0.032975,0.033153,0.0316,798099.4362,UOSUSD,5.989898009
