,time,open,close,highest,lowest,volume,amount,market_name
0,1577750400,0.0000020634,0.0000019136,0.0000020634,0.0000019001,3674366.62456727,7.115135648105667860,MATICBTC
1,1577836800,0.0000019138,0.0000020754,0.0000021500,0.0000019074,7300426.86942347,15.042621201199376066,MATICBTC
2,1577923200,0.0000020800,0.0000021102,0.0000022122,0.0000020661,9355249.84600738,19.967150543027868878,MATICBTC
3,1578009600,0.0000021090,0.0000020750,0.0000021901,0.0000020400,5673179.21153690,11.770408646441694660,MATICBTC
4,1578096000,0.0000020683,0.0000020106,0.0000021431,0.0000020063,5149764.80997169,10.594747275378526470,MATICBTC
5,1578182400,0.0000020108,0.0000020110,0.0000020856,0.0000019472,3975353.25132632,7.999989644877815675,MATICBTC
6,1578268800,0.0000020112,0.0000020037,0.0000021100,0.0000019437,7107547.07630000,14.449578632248430000,MATICBTC
7,1578355200,0.0000020039,0.0000018500,0.0000020100,0.0000018200,7549036.87453869,14.501567421024068660,MATICBTC
8,1578441600,0.0000018500,0.0000018612,0.0000018912,0.0000017700,8651124.15409810,15.802255941214821560,MATICBTC
9,1578528000,0.0000018614,0.0000016102,0.0000019773,0.0000015722,5669910.49600723,10.589321221352953839,MATICBTC
10,1578614400,0.0000016104,0.0000018200,0.0000018500,0.0000016104,4475068.70896783,8.205211350866560417,MATICBTC
11,1578700800,0.0000018202,0.0000018508,0.0000019621,0.0000017871,3690039.91836698,6.776847974273520924,MATICBTC
12,1578787200,0.0000018510,0.0000018300,0.0000018872,0.0000017502,2795833.64970000,5.156898014977680000,MATICBTC
13,1578873600,0.0000018300,0.0000019020,0.0000020781,0.0000017848,4264928.34239389,7.983415450254352630,MATICBTC
14,1578960000,0.0000019007,0.0000017700,0.0000019213,0.0000017600,8452529.32280862,15.410218169257471600,MATICBTC
15,1579046400,0.0000017700,0.0000018582,0.0000019200,0.0000017400,6893192.11071928,12.733859164322990992,MATICBTC
16,1579132800,0.0000018584,0.0000018500,0.0000018714,0.0000017800,4610505.27056614,8.388465530753011753,MATICBTC
17,1579219200,0.0000018500,0.0000020900,0.0000021500,0.0000018025,15081730.21905237,30.596805277771115028,MATICBTC
18,1579305600,0.0000021000,0.0000019600,0.0000021129,0.0000019401,6206718.26344852,12.614434921547802965,MATICBTC
19,1579392000,0.0000019600,0.0000018488,0.0000019720,0.0000018419,5538419.87577766,10.597700798128400598,MATICBTC
20,1579478400,0.0000018490,0.0000019571,0.0000019800,0.0000018375,4301074.38864494,8.268191036483308180,MATICBTC
21,1579564800,0.0000019573,0.0000019650,0.0000020200,0.0000019288,4996581.60005660,9.865310875820961188,MATICBTC
22,1579651200,0.0000019696,0.0000019643,0.0000019919,0.0000019079,3192465.09167788,6.258791301997050960,MATICBTC
23,1579737600,0.0000019645,0.0000019118,0.0000019761,0.0000018703,4403385.50255230,8.451242816507927600,MATICBTC
24,1579824000,0.0000019100,0.0000019317,0.0000019415,0.0000018411,3218563.61470000,6.124622074781480000,MATICBTC
25,1579910400,0.0000019319,0.0000019319,0.0000019871,0.0000018977,2529392.11680000,4.888448752503610000,MATICBTC
26,1579996800,0.0000019321,0.0000019216,0.0000019608,0.0000019002,2375513.67370000,4.574401199835230000,MATICBTC
27,1580083200,0.0000019218,0.0000019012,0.0000019719,0.0000018500,3600443.46482766,6.939707777377521260,MATICBTC
28,1580169600,0.0000019014,0.0000018300,0.0000019018,0.0000018101,3584268.34515985,6.695640675770167922,MATICBTC
29,1580256000,0.0000018300,0.0000018338,0.0000018456,0.0000017970,3236168.66642146,5.896149856353197497,MATICBTC
30,1580342400,0.0000018340,0.0000019500,0.0000019900,0.0000018032,5978589.32195179,11.444613213761060754,MATICBTC
31,1580428800,0.0000019502,0.0000019208,0.0000019999,0.0000018243,5475580.46230000,10.712353084041010000,MATICBTC
32,1580515200,0.0000019210,0.0000019510,0.0000019668,0.0000018049,2353199.21308841,4.555698898058526540,MATICBTC
33,1580601600,0.0000019512,0.0000020400,0.0000020900,0.0000017598,4921611.34804779,9.885296840427173088,MATICBTC
34,1580688000,0.0000020400,0.0000023600,0.0000024200,0.0000019872,12624799.97564751,28.104372839823676040,MATICBTC
35,1580774400,0.0000023600,0.0000023000,0.0000024400,0.0000022000,11124683.74395347,25.618713343648672563,MATICBTC
36,1580860800,0.0000022845,0.0000022400,0.0000023724,0.0000021700,8372334.94471206,19.094787004048311517,MATICBTC
37,1580947200,0.0000022400,0.0000025100,0.0000025600,0.0000022361,12592303.00210807,30.103717443213347890,MATICBTC
38,1581033600,0.0000025100,0.0000023400,0.0000025700,0.0000023300,8074347.99419020,19.772809174307799381,MATICBTC
39,1581120000,0.0000023402,0.0000021526,0.0000023444,0.0000020000,9342694.47308885,20.459902475701337919,MATICBTC
40,1581206400,0.0000021528,0.0000021612,0.0000022100,0.0000020560,4918962.44937281,10.532200809524219916,MATICBTC
41,1581292800,0.0000021622,0.0000021912,0.0000022199,0.0000021000,4687489.82455928,10.113600882379974002,MATICBTC
42,1581379200,0.0000021914,0.0000022400,0.0000022623,0.0000021200,4698871.10204477,10.255636914116860892,MATICBTC
43,1581465600,0.0000022400,0.0000021969,0.0000024100,0.0000021600,7098666.93901476,16.171570242519638522,MATICBTC
44,1581552000,0.0000021962,0.0000021819,0.0000022730,0.0000021530,4851568.94586858,10.713405394914095712,MATICBTC
45,1581638400,0.0000021821,0.0000022500,0.0000023100,0.0000021699,4664456.11110142,10.515096670411322920,MATICBTC
46,1581724800,0.0000022502,0.0000021100,0.0000023573,0.0000020400,6665966.78928827,14.740774751966942608,MATICBTC
47,1581811200,0.0000021102,0.0000020313,0.0000021736,0.0000019200,6505710.44071625,13.399602706447004634,MATICBTC
48,1581897600,0.0000020306,0.0000020700,0.0000020800,0.0000019600,5751929.35980744,11.575843113988748370,MATICBTC
49,1581984000,0.0000020700,0.0000021210,0.0000021600,0.0000020500,5932726.36277498,12.509444318232714566,MATICBTC
50,1582070400,0.0000021212,0.0000020800,0.0000023999,0.0000020400,4117300.42735715,8.768192968088846408,MATICBTC
51,1582156800,0.0000020800,0.0000021568,0.0000021568,0.0000020261,2818517.05317247,5.832147995469606590,MATICBTC
52,1582243200,0.0000021570,0.0000021428,0.0000022569,0.0000021208,2809954.68217424,6.151122547787027192,MATICBTC
53,1582329600,0.0000021430,0.0000021526,0.0000021833,0.0000021149,2132137.48903308,4.587716926462007691,MATICBTC
54,1582416000,0.0000021528,0.0000022427,0.0000023157,0.0000021375,2595119.23270758,5.845939730207848740,MATICBTC
55,1582502400,0.0000022429,0.0000021519,0.0000022795,0.0000021062,2263196.81730252,4.987342532692081318,MATICBTC
