,time,open,close,high,low,volume,turnover,market_name
0,1593043200,0.0000018,0.00000171,0.00000182,0.00000168,475096.88107068,0.8115469829309832,TOKO-BTC
1,1592956800,0.00000173,0.0000018,0.00000187,0.00000173,56968.51969024,0.1020561121589968,TOKO-BTC
2,1592870400,0.00000178,0.00000174,0.00000178,0.00000162,373611.8437,0.630936657141,TOKO-BTC
3,1592784000,0.00000176,0.00000179,0.00000183,0.00000172,55860.81282404,0.1005111492589932,TOKO-BTC
4,1592697600,0.00000173,0.00000174,0.00000179,0.0000017,27418.8416,0.047357345659,TOKO-BTC
5,1592611200,0.00000168,0.00000173,0.00000189,0.00000165,24533.07834598,0.0426449122169984,TOKO-BTC
6,1592524800,0.00000173,0.00000167,0.00000186,0.00000163,122967.12824883,0.2132809532179876,TOKO-BTC
7,1592438400,0.00000159,0.00000173,0.000002,0.00000154,136452.04507114,0.2313084124199928,TOKO-BTC
8,1592352000,0.00000153,0.00000159,0.0000017,0.00000153,112285.26591896,0.1807263106049768,TOKO-BTC
9,1592265600,0.00000151,0.00000154,0.00000159,0.00000148,19394.56146451,0.0302352338009905,TOKO-BTC
10,1592179200,0.00000158,0.00000149,0.00000168,0.00000148,30724.3191,0.047410814439,TOKO-BTC
11,1592092800,0.0000015,0.00000157,0.00000171,0.0000015,30629.7121269,0.048525660414999,TOKO-BTC
12,1592006400,0.00000145,0.0000015,0.00000159,0.00000145,7956.3853,0.012015728683,TOKO-BTC
13,1591920000,0.00000145,0.00000146,0.00000161,0.00000142,59955.0706,0.089865801665,TOKO-BTC
14,1591833600,0.00000138,0.00000144,0.00000147,0.00000136,58089.47123809,0.0820231158769923,TOKO-BTC
15,1591747200,0.0000014,0.00000138,0.00000141,0.00000137,7937.2023,0.011054202972,TOKO-BTC
16,1591660800,0.00000139,0.00000138,0.00000155,0.00000138,107797.9565,0.150736296023,TOKO-BTC
17,1591574400,0.0000014,0.00000139,0.00000141,0.00000139,18919.2764,0.026363105546,TOKO-BTC
18,1591488000,0.00000143,0.0000014,0.0000015,0.00000137,120572.7319,0.171738399176,TOKO-BTC
19,1591401600,0.00000142,0.00000143,0.00000144,0.00000137,72698.8424,0.100739522023,TOKO-BTC
20,1591315200,0.00000138,0.00000141,0.00000153,0.00000137,100457.99979084,0.1419815011319852,TOKO-BTC
21,1591228800,0.00000144,0.00000139,0.00000149,0.0000013,520580.05128732,0.7242763123079944,TOKO-BTC
22,1591142400,0.00000149,0.00000143,0.00000153,0.00000141,46620.4411366,0.067784420764998,TOKO-BTC
23,1591056000,0.0000014,0.00000149,0.00000151,0.00000139,12222.0748,0.017997951003,TOKO-BTC
24,1590969600,0.00000151,0.00000142,0.00000154,0.00000138,64886.9793,0.093733748823,TOKO-BTC
25,1590883200,0.00000149,0.00000151,0.00000154,0.00000149,87839.1828,0.133650019671,TOKO-BTC
26,1590796800,0.00000158,0.00000148,0.00000158,0.00000146,579522.96557919,0.8711731549499931,TOKO-BTC
27,1590710400,0.00000154,0.00000158,0.00000159,0.00000147,135126.1831,0.208674279381,TOKO-BTC
28,1590624000,0.00000162,0.00000154,0.00000162,0.00000148,27119.7468,0.040905656429,TOKO-BTC
29,1590537600,0.00000165,0.00000163,0.00000168,0.00000159,23287.27017678,0.0378212439609904,TOKO-BTC
30,1590451200,0.00000166,0.00000166,0.00000167,0.00000158,119451.1674,0.194418139253,TOKO-BTC
31,1590364800,0.00000166,0.00000166,0.00000168,0.00000162,46745.2503526,0.0774205546349848,TOKO-BTC
32,1590278400,0.00000165,0.00000166,0.0000017,0.00000152,945147.8241,1.486048793531,TOKO-BTC
33,1590192000,0.00000165,0.00000168,0.00000175,0.00000161,30883.7252,0.051205148679,TOKO-BTC
34,1590105600,0.00000166,0.00000166,0.0000017,0.00000159,68009.21460476,0.1116558480669968,TOKO-BTC
35,1590019200,0.00000158,0.00000166,0.00000166,0.00000155,84595.74070759,0.1348364287229922,TOKO-BTC
36,1589932800,0.00000173,0.00000157,0.00000192,0.00000149,537040.94856666,0.863562833103988,TOKO-BTC
37,1589846400,0.00000152,0.00000175,0.000002,0.00000151,133048.37892932,0.2226618744049886,TOKO-BTC
38,1589760000,0.00000146,0.00000151,0.00000158,0.00000143,148835.205,0.219764355501,TOKO-BTC
39,1589673600,0.00000151,0.00000148,0.00000154,0.00000143,26612.2658,0.038772547652,TOKO-BTC
40,1589587200,0.0000015,0.0000015,0.00000159,0.00000143,46690.0535,0.070030700593,TOKO-BTC
41,1589500800,0.00000144,0.0000015,0.00000153,0.00000142,10989.23665342,0.0162172366439932,TOKO-BTC
42,1589414400,0.0000015,0.00000144,0.0000015,0.0000014,42092.6118,0.061240535461,TOKO-BTC
43,1589328000,0.00000157,0.0000015,0.00000159,0.00000147,36714.3652,0.055344535432,TOKO-BTC
44,1589241600,0.00000159,0.00000163,0.00000163,0.00000158,1450.1262,0.002327958278,TOKO-BTC
45,1589155200,0.00000155,0.00000162,0.00000165,0.00000154,50541.8603,0.081735483496,TOKO-BTC
46,1589068800,0.00000151,0.00000163,0.00000175,0.00000151,59457.05724804,0.0968071652937442,TOKO-BTC
47,1588982400,0.0000015,0.00000151,0.00000153,0.00000146,20285.9618,0.029894685905,TOKO-BTC
