,time,open,close,high,low,volume,turnover,market_name
0,1593043200,0.0004286,0.0004238,0.0004392,0.0003769,1048534.6748,422.51439669748,MTV-KCS
1,1592956800,0.0005368,0.0004273,0.0005368,0.000404,4631623.3316,2147.942592690609762,MTV-KCS
2,1592870400,0.0004322,0.0005368,0.0005912,0.0003947,5416749.87122081,2508.65429197675361,MTV-KCS
3,1592784000,0.0004497,0.0004316,0.000451,0.0004291,335631.3765,147.67419613952,MTV-KCS
4,1592697600,0.0004593,0.0004497,0.0004809,0.0004265,1448945.478,657.30311404901,MTV-KCS
5,1592611200,0.0004992,0.0004616,0.0004992,0.0004511,968942.6828,460.9892890992,MTV-KCS
6,1592524800,0.0004848,0.0004998,0.0005055,0.0004519,2163709.2411,1046.88240971478,MTV-KCS
7,1592438400,0.0005007,0.0004848,0.0005147,0.0004848,881462.61564219,435.884585064560895,MTV-KCS
8,1592352000,0.0004977,0.0004976,0.0006375,0.0004846,4331773.34925112,2307.425754011179902,MTV-KCS
9,1592265600,0.0004916,0.0004941,0.0005174,0.0004777,2449765.35299643,1193.812864153297933,MTV-KCS
10,1592179200,0.0004893,0.0004928,0.0005587,0.0004784,5607905.81490249,2776.312912166229678,MTV-KCS
11,1592092800,0.0005023,0.0004883,0.0005133,0.0004869,832746.1284,417.34132849924,MTV-KCS
12,1592006400,0.0005593,0.0005008,0.0005748,0.0004698,2324039.2829,1183.57740155733,MTV-KCS
13,1591920000,0.0005048,0.0005603,0.0006777,0.0004897,7899463.09125473,4465.574111831128,MTV-KCS
14,1591833600,0.0004213,0.0005048,0.0005107,0.0004145,2753770.9957,1307.52697355421,MTV-KCS
15,1591747200,0.0004311,0.0004201,0.000463,0.0003709,1119917.8779,465.56158135044,MTV-KCS
16,1591660800,0.0004409,0.0004307,0.00048,0.0004266,445590.532,199.6275194304,MTV-KCS
17,1591574400,0.0004536,0.0004431,0.0004651,0.0004273,823262.0559,367.53740792871,MTV-KCS
18,1591488000,0.0004573,0.0004536,0.0004754,0.0004288,805544.18339581,366.778552908607713,MTV-KCS
19,1591401600,0.0004578,0.0004573,0.0004662,0.0004536,313161.0235,143.53417546418,MTV-KCS
