,close,high,low,open,time,volume,market_name
0,0.00001222,0.00001229,0.000012,0.00001204,2020-05-19T00:00:00Z,43932031.85,ONE-ETH
1,0.00001202,0.00001243,0.000012,0.00001242,2020-05-18T00:00:00Z,52631278.52,ONE-ETH
2,0.00001243,0.0000127,0.00001234,0.00001259,2020-05-17T00:00:00Z,51155002.53,ONE-ETH
3,0.00001258,0.00001293,0.00001254,0.00001286,2020-05-16T00:00:00Z,51104059.22,ONE-ETH
4,0.00001287,0.00001295,0.00001241,0.00001244,2020-05-15T00:00:00Z,54879262.53,ONE-ETH
5,0.00001244,0.00001261,0.0000121,0.00001217,2020-05-14T00:00:00Z,61915580.23,ONE-ETH
6,0.00001218,0.00001248,0.00001201,0.00001207,2020-05-13T00:00:00Z,51627906.94,ONE-ETH
7,0.00001209,0.00001219,0.00001192,0.00001217,2020-05-12T00:00:00Z,52644021.43,ONE-ETH
8,0.00001219,0.00001238,0.00001189,0.00001209,2020-05-11T00:00:00Z,54305317.89,ONE-ETH
9,0.00001209,0.0000124,0.00001168,0.00001192,2020-05-10T00:00:00Z,53711706,ONE-ETH
10,0.0000119,0.00001196,0.00001171,0.00001188,2020-05-09T00:00:00Z,51207916.02,ONE-ETH
11,0.00001189,0.00001213,0.00001018,0.00001072,2020-05-08T00:00:00Z,55833065.05,ONE-ETH
12,0.00001072,0.0000114,0.00001068,0.00001139,2020-05-07T00:00:00Z,54750845.59,ONE-ETH
13,0.00001141,0.00001166,0.00001111,0.00001145,2020-05-06T00:00:00Z,55532521.02,ONE-ETH
14,0.00001146,0.00001153,0.00001119,0.00001136,2020-05-05T00:00:00Z,64458761.82,ONE-ETH
15,0.00001138,0.0000116,0.00001103,0.00001115,2020-05-04T00:00:00Z,56579825.8,ONE-ETH
16,0.00001115,0.00001135,0.00001111,0.00001129,2020-05-03T00:00:00Z,51814022.61,ONE-ETH
17,0.00001129,0.00001141,0.00001123,0.00001132,2020-05-02T00:00:00Z,48766638.52,ONE-ETH
18,0.00001132,0.00001155,0.00001108,0.00001153,2020-05-01T00:00:00Z,53109271.3,ONE-ETH
19,0.00001154,0.00001181,0.00001091,0.00001125,2020-04-30T00:00:00Z,55805347.55,ONE-ETH
20,0.00001125,0.00001166,0.000011,0.00001165,2020-04-29T00:00:00Z,65352622.97,ONE-ETH
21,0.00001165,0.0000118,0.00001148,0.00001168,2020-04-28T00:00:00Z,50172886.54,ONE-ETH
22,0.00001168,0.00001198,0.00001165,0.00001181,2020-04-27T00:00:00Z,53482542.36,ONE-ETH
23,0.00001181,0.00001199,0.00001158,0.00001188,2020-04-26T00:00:00Z,52087173.22,ONE-ETH
24,0.00001188,0.00001275,0.00001186,0.00001273,2020-04-25T00:00:00Z,47661869.32,ONE-ETH
25,0.00001273,0.00001301,0.00001266,0.00001301,2020-04-24T00:00:00Z,48664262.56,ONE-ETH
26,0.000013,0.0000131,0.00001259,0.00001301,2020-04-23T00:00:00Z,48194150.7,ONE-ETH
27,0.00001302,0.00001356,0.00001282,0.00001353,2020-04-22T00:00:00Z,47977317.02,ONE-ETH
28,0.00001354,0.00001378,0.00001342,0.00001371,2020-04-21T00:00:00Z,52334942.38,ONE-ETH
29,0.00001371,0.00001374,0.00001308,0.00001316,2020-04-20T00:00:00Z,51911413.52,ONE-ETH
30,0.00001317,0.00001357,0.00001308,0.00001328,2020-04-19T00:00:00Z,51042862.83,ONE-ETH
31,0.00001328,0.00001408,0.00001322,0.00001377,2020-04-18T00:00:00Z,42431831.24,ONE-ETH
32,0.00001377,0.00001381,0.00001348,0.00001369,2020-04-17T00:00:00Z,45385151.24,ONE-ETH
33,0.00001369,0.0000144,0.00001353,0.00001435,2020-04-16T00:00:00Z,41668174.63,ONE-ETH
34,0.00001434,0.00001434,0.0000138,0.00001395,2020-04-15T00:00:00Z,44041080.04,ONE-ETH
35,0.00001394,0.00001427,0.00001384,0.00001423,2020-04-14T00:00:00Z,34411795.85,ONE-ETH
36,0.00001423,0.00001435,0.00001401,0.00001416,2020-04-13T00:00:00Z,43945614.48,ONE-ETH
37,0.00001413,0.00001432,0.00001399,0.00001402,2020-04-12T00:00:00Z,42190778.19,ONE-ETH
