asset,day,close,volume
cryptoads-marketplace,2019-09-03,0.13241155,1781.51218637565
cryptoads-marketplace,2019-09-04,0.12671956,1706.15096966154
cryptoads-marketplace,2019-09-05,0.13799009,1266.71266452786
cryptoads-marketplace,2019-09-06,0.12236303,542.924771504904
cryptoads-marketplace,2019-09-07,0.1275156,695.502276664181
cryptoads-marketplace,2019-09-08,0.12949046,736.398474222055
cryptoads-marketplace,2019-09-09,0.100504294,1001.64120541017
cryptoads-marketplace,2019-09-10,0.10637633,3732.97618578799
cryptoads-marketplace,2019-09-11,0.10560956,6594.18862716464
cryptoads-marketplace,2019-09-12,0.108531564,10306.3848809701
cryptoads-marketplace,2019-09-13,0.084080204,3131.52023723734
cryptoads-marketplace,2019-09-14,0.112772465,11393.9810949717
cryptoads-marketplace,2019-09-15,0.113923594,3975.59237780878
cryptoads-marketplace,2019-09-16,0.02151946,737.307855071764
cryptoads-marketplace,2019-09-17,0.012518277,2350.6423383624
cryptoads-marketplace,2019-09-18,0.092332244,7402.50295693944
cryptoads-marketplace,2019-09-19,0.08624246,8875.33862375106
cryptoads-marketplace,2019-09-20,0.08233308,12063.7889182715
cryptoads-marketplace,2019-09-21,0.080398,7975.98270288494
cryptoads-marketplace,2019-09-22,0.079062164,10224.5406207822
cryptoads-marketplace,2019-09-23,0.074531384,3916.05924134446
cryptoads-marketplace,2019-09-24,0.05874809,7912.0971873603
cryptoads-marketplace,2019-09-25,0.03425308,5723.10937132563
cryptoads-marketplace,2019-09-26,0.04020347,6206.20646063725
cryptoads-marketplace,2019-09-27,0.010910568,2700.50393516866
cryptoads-marketplace,2019-09-28,0.052266993,4222.71373882245
cryptoads-marketplace,2019-09-29,0.03472965,1699.80610578268
cryptoads-marketplace,2019-09-30,0.036005985,6932.2071500675
cryptoads-marketplace,2019-10-01,0.017020486,4685.33994538726
cryptoads-marketplace,2019-10-02,0.02510713,4925.90071247875
cryptoads-marketplace,2019-10-03,0.017541133,5.62865312886534
cryptoads-marketplace,2019-10-04,0.025275055,1040.14992452907
cryptoads-marketplace,2019-10-05,0.014306301,832.887594096052
cryptoads-marketplace,2019-10-06,0.0025721388,42.2878029950675
cryptoads-marketplace,2019-10-07,0.004901132,6520.96534867082
cryptoads-marketplace,2019-10-08,0.0011056319,7250.39528271738
cryptoads-marketplace,2019-10-09,0.00061118323,3700.35576758707
cryptoads-marketplace,2019-10-10,0.0005857394,10678.2442912673
cryptoads-marketplace,2019-10-11,0.0062383576,16.1423906827111
cryptoads-marketplace,2019-10-12,0.005248198,19.7132110429083
cryptoads-marketplace,2019-10-13,0.018206805,5.17073247152478
cryptoads-marketplace,2019-10-14,0.00782417,13.2546472086999
cryptoads-marketplace,2019-10-15,0.01814502,5.15318528582194
cryptoads-marketplace,2019-10-16,0.0050413315,18.4014214623232
cryptoads-marketplace,2019-10-17,0.0049282745,19.3033277656755
cryptoads-marketplace,2019-10-18,0.0074128085,11.8771466371358
cryptoads-marketplace,2019-10-19,0.007142683,12.4305291267845
cryptoads-marketplace,2019-10-20,0.007247344,12.6126724106115
cryptoads-marketplace,2019-10-21,0.007226396,12.5762154365816
cryptoads-marketplace,2019-10-22,0.0071178623,12.3873332245616
cryptoads-marketplace,2019-10-23,0.0067024683,11.6644156620663
cryptoads-marketplace,2019-10-24,0.0037983283,21.8776173769156
cryptoads-marketplace,2019-10-25,0.002319325,51.189805664475
cryptoads-marketplace,2019-10-26,0.017985448,5.10786755070125
cryptoads-marketplace,2019-10-27,0.018442424,5.23764845718953
cryptoads-marketplace,2019-10-28,0.0075436234,13.1282915893854
