,close,currencyVol,high,low,open,time,vol,market_name
0,2.25e-06,0,0.007,2.1e-06,0.007,1569888000000,271200.6409,btc-und
1,3.58e-06,0,4.09e-06,2.24e-06,2.24e-06,1569974400000,487661.6336,btc-und
2,3.98e-06,0,4.58e-06,3.03e-06,3.75e-06,1570060800000,676645.6047,btc-und
3,3.73e-06,0,4.07e-06,3.22e-06,3.98e-06,1570147200000,622092.4064,btc-und
4,3.43e-06,0,4.39e-06,2.59e-06,3.73e-06,1570233600000,569689.0684,btc-und
5,4.08e-06,0,4.4e-06,3.04e-06,3.43e-06,1570320000000,473180.0527,btc-und
6,3.82e-06,0,4.22e-06,2.22e-06,4.04e-06,1570406400000,688023.3101,btc-und
7,2.83e-06,0,4.09e-06,2.7e-06,3.83e-06,1570492800000,659668.0282,btc-und
8,3.12e-06,0,3.98e-06,2.72e-06,2.79e-06,1570579200000,606778.3105,btc-und
9,2.79e-06,0,3.2e-06,2.49e-06,3.1e-06,1570665600000,491111.3794,btc-und
10,2.7e-06,0,2.86e-06,2.23e-06,2.78e-06,1570752000000,527829.767,btc-und
11,2.41e-06,0,2.77e-06,2.29e-06,2.72e-06,1570838400000,518037.1924,btc-und
12,2.75e-06,0,3.16e-06,2.25e-06,2.41e-06,1570924800000,654198.7956,btc-und
13,3.17e-06,0,3.57e-06,2.67e-06,2.76e-06,1571011200000,609848.679,btc-und
14,3.2e-06,0,3.23e-06,2.91e-06,3.18e-06,1571097600000,337232.5775,btc-und
15,2.87e-06,0,3.36e-06,2.84e-06,3.2e-06,1571184000000,314564.4047,btc-und
16,2.84e-06,0,3.14e-06,2.71e-06,2.84e-06,1571270400000,288135.9615,btc-und
17,2.81e-06,0,2.96e-06,2.74e-06,2.81e-06,1571356800000,640249.2577,btc-und
18,2.77e-06,0,2.86e-06,2.75e-06,2.81e-06,1571443200000,407306.1025,btc-und
19,2.43e-06,0,2.8e-06,2.43e-06,2.77e-06,1571529600000,481465.6296,btc-und
20,2.52e-06,0,2.91e-06,2.43e-06,2.43e-06,1571616000000,245061.8113,btc-und
21,2.27e-06,0,2.59e-06,2.25e-06,2.52e-06,1571702400000,391667.754,btc-und
22,2.56e-06,0,2.65e-06,2.28e-06,2.29e-06,1571788800000,332102.538,btc-und
23,2.34e-06,0,2.66e-06,2.32e-06,2.56e-06,1571875200000,353766.3153,btc-und
24,2.3e-06,0,2.5e-06,2.24e-06,2.34e-06,1571961600000,480087.5191,btc-und
25,2.23e-06,0,2.33e-06,2.14e-06,2.3e-06,1572048000000,819649.4989,btc-und
26,2.49e-06,0,2.74e-06,2.21e-06,2.23e-06,1572134400000,1249675.9838,btc-und
27,2.4e-06,0,2.5e-06,2.05e-06,2.5e-06,1572220800000,658965.1969,btc-und
28,2.4e-06,0,2.49e-06,2.35e-06,2.4e-06,1572307200000,1193412.2678,btc-und
29,2.65e-06,0,2.66e-06,2.39e-06,2.41e-06,1572393600000,1607720.6126,btc-und
30,2.66e-06,0,2.71e-06,2.55e-06,2.65e-06,1572480000000,1193777.3307,btc-und
31,2.44e-06,0,2.71e-06,2.19e-06,2.66e-06,1572566400000,1123004.3931,btc-und
32,2.58e-06,0,2.62e-06,2.43e-06,2.44e-06,1572652800000,1395150.687,btc-und
33,2.56e-06,0,2.68e-06,2.55e-06,2.57e-06,1572739200000,1381765.6771,btc-und
34,2.34e-06,0,2.55e-06,2.24e-06,2.55e-06,1572825600000,1360862.9181,btc-und
35,2.21e-06,0,2.36e-06,2.12e-06,2.34e-06,1572912000000,1597565.7601,btc-und
36,2.22e-06,0,2.28e-06,2.12e-06,2.21e-06,1572998400000,1739431.0697,btc-und
37,2.18e-06,0,2.23e-06,2.04e-06,2.22e-06,1573084800000,1679974.7396,btc-und
