,c_price,o_price,min_price,max_price,volume,amount,timestamp,market_name
0,0.00000174,0.00000156,0.00000156,0.00000179,14501537.3022,14501537.3022,1552608000000,UNCETH
1,0.00000174,0.00000173,0.00000171,0.00000177,4510622.4390,4510622.4390,1552694400000,UNCETH
2,0.00000176,0.00000174,0.00000171,0.00000178,26080094.0977,26080094.0977,1552780800000,UNCETH
3,0.00000172,0.00000171,0.0000017,0.00000178,29628125.5058,29628125.5058,1552867200000,UNCETH
4,0.00000172,0.00000172,0.0000017,0.00000178,29684082.5120,29684082.5120,1552953600000,UNCETH
5,0.00000176,0.00000172,0.0000017,0.00000176,8944933.9685,8944933.9685,1553040000000,UNCETH
6,0.00000173,0.00000171,0.00000171,0.00000178,24666891.8931,24666891.8931,1553126400000,UNCETH
7,0.00000174,0.00000172,0.00000171,0.00000179,33191105.0860,33191105.0860,1553212800000,UNCETH
8,0.00000173,0.00000175,0.00000171,0.00000177,7731114.5999,7731114.5999,1553299200000,UNCETH
9,0.00000178,0.00000173,0.00000171,0.00000179,21909241.6408,21909241.6408,1553385600000,UNCETH
10,0.00000174,0.00000171,0.00000171,0.00000177,26372612.8193,26372612.8193,1553472000000,UNCETH
11,0.00000177,0.00000173,0.00000171,0.00000178,771000,771000,1553558400000,UNCETH
12,0.00000176,0.00000176,0.0000017,0.00000178,792000,792000,1553644800000,UNCETH
13,0.00000176,0.00000171,0.00000171,0.00000178,741000,741000,1553731200000,UNCETH
14,0.00000177,0.00000171,0.00000171,0.00000177,675000,675000,1553817600000,UNCETH
15,0.00000171,0.00000171,0.00000171,0.00000179,663000,663000,1553904000000,UNCETH
16,0.00000173,0.00000172,0.0000017,0.00000178,810000,810000,1553990400000,UNCETH
17,0.00000178,0.00000174,0.00000171,0.00000179,690000,690000,1554076800000,UNCETH
18,0.00000173,0.00000171,0.00000171,0.00000177,798000,798000,1554163200000,UNCETH
19,0.00000172,0.00000173,0.0000017,0.00000177,702000,702000,1554249600000,UNCETH
20,0.00000172,0.00000172,0.00000171,0.00000177,687000,687000,1554336000000,UNCETH
21,0.00000175,0.00000172,0.00000171,0.0000018,708000,708000,1554422400000,UNCETH
22,0.00000176,0.00000175,0.00000171,0.00000179,690000,690000,1554508800000,UNCETH
23,0.00000173,0.00000176,0.0000017,0.00000177,786000,786000,1554595200000,UNCETH
24,0.00000175,0.00000173,0.00000171,0.00000178,705000,705000,1554681600000,UNCETH
25,0.00000178,0.00000175,0.00000171,0.00000178,630000,630000,1554768000000,UNCETH
26,0.00000177,0.00000178,0.00000171,0.00000178,765000,765000,1554854400000,UNCETH
27,0.00000177,0.00000177,0.00000171,0.00000178,699000,699000,1554940800000,UNCETH
28,0.00000172,0.00000177,0.00000171,0.00000177,642000,642000,1555027200000,UNCETH
29,0.00000175,0.00000172,0.00000171,0.00000177,690000,690000,1555113600000,UNCETH
30,0.00000174,0.00000177,0.0000017,0.00000177,666000,666000,1555200000000,UNCETH
31,0.00000176,0.00000174,0.00000171,0.00000177,708000,708000,1555286400000,UNCETH
32,0.00000172,0.00000176,0.00000171,0.00000177,684000,684000,1555372800000,UNCETH
33,0.00000172,0.00000172,0.0000017,0.00000177,726000,726000,1555459200000,UNCETH
34,0.00000172,0.00000172,0.00000171,0.00000178,747000,747000,1555545600000,UNCETH
35,0.00000174,0.00000172,0.00000171,0.00000177,669000,669000,1555632000000,UNCETH
36,0.00000178,0.00000174,0.00000171,0.00000178,765000,765000,1555718400000,UNCETH
37,0.00000176,0.00000178,0.0000017,0.00000178,729000,729000,1555804800000,UNCETH
38,0.00000172,0.00000176,0.00000171,0.00000178,687000,687000,1555891200000,UNCETH
39,0.00000172,0.00000172,0.0000017,0.00000177,735000,735000,1555977600000,UNCETH
40,0.00000172,0.00000172,0.0000017,0.00000177,678000,678000,1556064000000,UNCETH
41,0.00000172,0.00000172,0.0000017,0.00000177,630000,630000,1556150400000,UNCETH
42,0.00000172,0.00000172,0.00000171,0.00000177,615000,615000,1556236800000,UNCETH
43,0.00000177,0.00000172,0.00000171,0.00000177,771024,771024,1556323200000,UNCETH
44,0.00000173,0.00000171,0.0000017,0.00000177,534000,534000,1556409600000,UNCETH
45,0.00000176,0.00000172,0.00000171,0.00000177,615000,615000,1556496000000,UNCETH
46,0.00000172,0.00000176,0.0000017,0.00000177,723000,723000,1556582400000,UNCETH
47,0.00000172,0.00000172,0.00000171,0.00000177,648000,648000,1556668800000,UNCETH
48,0.00000176,0.00000172,0.0000017,0.00000177,672000,672000,1556755200000,UNCETH
49,0.00000177,0.00000176,0.00000171,0.00000178,630000,630000,1556841600000,UNCETH
50,0.00000172,0.00000177,0.00000171,0.00000177,633000,633000,1556928000000,UNCETH
51,0.00000172,0.00000172,0.0000017,0.00000178,714000,714000,1557014400000,UNCETH
52,0.00000175,0.00000172,0.00000171,0.00000177,789000,789000,1557100800000,UNCETH
53,0.00000172,0.00000175,0.00000171,0.00000177,735000,735000,1557187200000,UNCETH
54,0.00000172,0.00000172,0.00000171,0.00000178,747000,747000,1557273600000,UNCETH
55,0.00000173,0.00000172,0.00000171,0.00000178,648000,648000,1557360000000,UNCETH
